Id	AttribId	PromotedId	Kind	Type	Note	Name	MoveUseFaceDir	HasRunTilt	ForceSqueezeOut	HasSquatState	AttribType	SquatMotionOffset	ModelId	BaseHeight	ColliderType	PolygonId	BodyRadius	CameraCollideRadius	HitRadius	IgnoreCollisionToNpc	IgnoreCollisionFromNpc	ModelScale	OffsetScale	EffectScale	MissileScale	UiResId	BossHp	HpWdigetCount	HpWidgetHeight	HpWidgetType	RollCharHeight	LieOnFloorTime	StandUpTailTime	StandUpImmuneHitTime	MaxHitValue	BeHitInterval	Ball	RandomBall	AttackSkillId	DodgeSkillId	CatchType	NoThreat	NotToThreatTarget	DeathTime	HasRunToStand	HasRunStart	HasStandTransition	WalkMotionOffset	RunMotionOffset	HasSprintState	SprintMotionOffset	CollisionPriority	UseShadowMesh	ShadowQuadScale	DisableMotionRotation	DeathMagic[1]	DeathMagic[2]	DeathMagic[3]	DeathMagic[4]	RobotBornMagic[1]	BornMagic[1]	BornMagic[2]	BornMagic[3]	BornMagic[4]	BornMagic[5]	BornMagic[6]	BornMagic[7]	BornMagic[8]	BornMagic[9]	BornMagic[10]	BornMagic[11]	BornMagic[12]	SkillId[1]	SkillId[2]	SkillId[3]	SkillId[4]	SkillId[5]	SkillId[6]	SkillId[7]	SkillId[8]	SkillId[9]	SkillId[10]	SkillId[11]	SkillId[12]	SkillId[13]	SkillId[14]	SkillId[15]	SkillId[16]	SkillId[17]	SkillId[18]	SkillId[19]	SkillId[20]	SkillId[21]	SkillId[22]	SkillId[23]	SkillId[24]	SkillId[25]	SkillId[26]	SkillId[27]	SkillId[28]	SkillId[29]	SkillId[30]	SkillId[31]	SkillId[32]	SkillId[33]	SkillId[34]	SkillId[35]	SkillId[36]	SkillId[37]	SkillId[38]	SkillId[39]	SkillId[40]	SkillId[41]	SkillId[42]	SkillId[43]	SkillId[44]	SkillId[45]	SkillId[46]	SkillId[47]	SkillId[48]	SkillId[49]	SkillId[50]	SkillId[51]	SkillId[52]	SkillId[53]	SkillId[54]	SkillId[55]	SkillId[56]	SkillId[57]	SkillId[58]	SkillId[59]	SkillId[60]	SkillId[61]	SkillId[62]	SkillId[63]	SkillId[64]	SkillId[65]	SkillId[66]	SkillId[67]	SkillId[68]	SkillId[69]	SkillId[70]	SkillId[71]	SkillId[72]	SkillId[73]	SkillId[74]	SkillId[75]	SkillId[76]	SkillId[77]	SkillId[78]	SkillId[79]	SkillId[80]	SkillId[81]	SkillId[82]	SkillId[83]	SkillId[84]	SkillId[85]	SkillId[86]	SkillId[87]	SkillId[88]	SkillId[89]	SkillId[90]	SkillId[91]	SkillId[92]	SkillId[93]	SkillId[94]	SkillId[95]	SkillId[96]	SkillId[97]	SkillId[98]	SkillId[99]	SkillId[100]
70010	7001	9410	1	3		Lee	1	1			0		R2LiangMd010011		1		0.3	0.3	0.1	0	0	1	1	1		100101	0	10	0.8	1	1	0.2		0.45	10	0								999	1	1	1					3		0.3							7001	800001	995911										100101	100102	100103	100104	100105	100106	100107	100108	100109	100110	100111	100112	100113	100114	100115	100116	100117	100118	100119	100120	100121	100122	100123	100124	100125	100126																																																																										
70020	7002	9410	1	3		Lucia	1	1			0		R1LuxiyaMd010011		1		0.3	0.3	0.1	0	0	1	1	1		100201	0	10	0.8	1	1	0.2		0.65	10	0								999	1	1	1					3		0.3							7002	800001	995912										100201	100202	100203	100204	100205	100206	100207	100208	100209	100210	100211	100212	100213	100214	100215	100216	100217	100218	100219	100220	100221	100222	100223	100224	100225	100226	100227	100228	100229	100230	100231	100232	996001	996004																																																																		
70030	7003	9410	1	3		Liv	1	1			0		R1LifuMd010011		1		0.3	0.3	0.1	0	0	1	1	1		100301	0	10	0.8	1	1	0.2		0.6	10	0								999	1	1	1					3		0.3							7003	800001	995905										100301	100302	100303	100304	100305	100306	100307	100308	100309	100310	100311	100312	100313	100314	100315	100316	100317	100318	100319	100320	100321	100322	100323	100324																																																																												
70040	7004	9410	1	3		Bianca	1	1			0		R2BiankaMd010011		1		0.3	0.3	0.1	0	0	1	1	1		100401	0	10	0.8	1	1	0.2		0.7	10	0								999	1	1	1					3		0.3							7004	800001	995906										100401	100402	100403	100404	100405	100406	100407	100408	100409	100410	100411	100412	100413	100414	100415	100416	100417	100418	100419	100420	100421	100422	100423																																																																													
70050	7005	9410	1	3		Nanami	1	1			0		R2YongyechaoMd010011		1		0.3	0.3	0.1	0	0	1	1	1		100501	0	10	0.8	1	1	0.2		0.55	10	0								999	1	1	1					3		0.3							7005	800001	995907										100501	100502	100503	100504	100505	100506	100507	100508	100509	100510	100511	100512	100513	100514	100515	100516	100517	100518	100519	100520	100521	100522	100523	100524																																																																												
70150	7005	9410	1	3		Nanami	1	1			0		R3YongyechaoMd010011		1		0.3	0.3	0.1	0	0	1	1	1		101501	0	10	0.8	1	1	0.2		0.55	10	0								999	1	1	1					3		0.3							7015	800001	995907										101501	101502	101503	101504	101505	101506	101507	101508	101509	101510	101511	101512	101513	101514	101515	101516	101517	101518	101519	101520	101521	101522	101523	101524	101525	101526	101527	101528																																																																								
70060	7006	9410	1	3		Kamui	1	1			0		R2ShenweiMd010011		1		0.3	0.3	0.1	0	0	1	1	1		100601	0	10	0.8	1	1	0.2		0.6	10	0								999	1	1	1					3		0.3							7006	800001	995908										100601	100602	100603	100604	100605	100606	100607	100608	100609	100610	100611	100612	100613	100614	100615	100616	100617	100618	100619	100620	100621	100622	100623	100624																																																																												
70070	7007	9410	1	3		Karenina	1	1			0		R2KalieninaMd010011		1		0.3	0.3	0.1	0	0	1	1	1		100701	0	10	0.8	1	1	0.2		0.55	10	0								999	1	1	1					3		0.3							7007	800001	995909										100701	100702	100703	100704	100705	100706	100707	100708	100709	100710	100711	100712	100713	100714	100715	100716	100717	100718	100719	100720	100721	100722	100723	100724	100725																																																																											
70080	7008	9410	1	3		Watanabe	1	1			0		R2DubianMd010011		1		0.3	0.3	0.1	0	0	1	1	1		100801	0	10	0.8	1	1	0.2		0.5	10	0								999	1	1	1					3		0.3							7008	800001	995910										100801	100802	100803	100804	100805	100807	100808	100809	100810	100811	100812	100813	100814	100815	100816	100817	100818	100819	100820	100821	100822	100823	100824	100825	100826	100827	100828	100829	100830	100831	996005																																																																					
70120	7012	9410	1	3		Lucia: Dawn	1	1			0		R2LuxiyaMd010011		1		0.3	0.3	0.1	0	0	1	1	1		101201	0	10	0.7	1	1	0.2		1.25	10	0								999	1	1	1					3		0.3							7012	800001											101201	101202	101203	101204	101205	101206	101207	101208	101209	101210	101211	101212	101213	101214	101215	101216	101217	101218	101219	101220	101221	101222	101223	101224	101225	101226	101227	101228	101229	101230	101231	101232	101233	101234	101235	101236	101237	101238	101239	101240	101241	994106																																																										
