Id	AttribId	PromotedId	Kind	Type	Note	Name	MoveUseFaceDir	HasRunTilt	HasSquatState	AttribType	SquatMotionOffset	ModelId	BaseHeight	ColliderType	PolygonId	BodyRadius	CameraCollideRadius	HitRadius	IgnoreCollisionToNpc	IgnoreCollisionFromNpc	ModelScale	OffsetScale	EffectScale	MissileScale	UiResId	BossHp	HpWdigetCount	HpWidgetHeight	HpWidgetType	RollCharHeight	LieOnFloorTime	StandUpTailTime	StandUpImmuneHitTime	MaxHitValue	BeHitInterval	Ball	RandomBall	AttackSkillId	DodgeSkillId	CatchType	NoThreat	NotToThreatTarget	DeathTime	HasRunToStand	HasRunStart	HasStandTransition	WalkMotionOffset	RunMotionOffset	HasSprintState	SprintMotionOffset	CollisionPriority	ForceSqueezeOut	UseShadowMesh	ShadowQuadScale	DisableMotionRotation	DeathMagic[1]	DeathMagic[2]	DeathMagic[3]	DeathMagic[4]	RobotBornMagic[1]	BornMagic[1]	BornMagic[2]	BornMagic[3]	BornMagic[4]	BornMagic[5]	BornMagic[6]	BornMagic[7]	BornMagic[8]	BornMagic[9]	BornMagic[10]	BornMagic[11]	BornMagic[12]	SkillId[1]	SkillId[2]	SkillId[3]	SkillId[4]	SkillId[5]	SkillId[6]	SkillId[7]	SkillId[8]	SkillId[9]	SkillId[10]	SkillId[11]	SkillId[12]	SkillId[13]	SkillId[14]	SkillId[15]	SkillId[16]	SkillId[17]	SkillId[18]	SkillId[19]	SkillId[20]	SkillId[21]	SkillId[22]	SkillId[23]	SkillId[24]	SkillId[25]	SkillId[26]	SkillId[27]	SkillId[28]	SkillId[29]	SkillId[30]	SkillId[31]	SkillId[32]	SkillId[33]	SkillId[34]	SkillId[35]	SkillId[36]	SkillId[37]	SkillId[38]	SkillId[39]	SkillId[40]	SkillId[41]	SkillId[42]	SkillId[43]	SkillId[44]	SkillId[45]	SkillId[46]	SkillId[47]	SkillId[48]	SkillId[49]	SkillId[50]	SkillId[51]	SkillId[52]	SkillId[53]	SkillId[54]	SkillId[55]	SkillId[56]	SkillId[57]	SkillId[58]	SkillId[59]	SkillId[60]	SkillId[61]	SkillId[62]	SkillId[63]	SkillId[64]	SkillId[65]	SkillId[66]	SkillId[67]	SkillId[68]	SkillId[69]	SkillId[70]	SkillId[71]	SkillId[72]	SkillId[73]	SkillId[74]	SkillId[75]	SkillId[76]	SkillId[77]	SkillId[78]	SkillId[79]	SkillId[80]	SkillId[81]	SkillId[82]	SkillId[83]	SkillId[84]	SkillId[85]	SkillId[86]	SkillId[87]	SkillId[88]	SkillId[89]	SkillId[90]	SkillId[91]	SkillId[92]	SkillId[93]	SkillId[94]	SkillId[95]	SkillId[96]	SkillId[97]	SkillId[98]	SkillId[99]	SkillId[100]
93660	7301	9190	3	1		Hanged Man III (Basic)	1			0		Mo1DiaorensanxingMd000001		1		1	1	0.2			1.1	1	1.1	1.1		0	5	0.8	2	1.5	0		0.3	10									4.4	0							3			1		90660098	90660096	90660094	90660092		9066	900008	100027	900011	900051	906629	900407	777335					906601	906602	906603	906604	906605	906606	906607	906608	906609	906610	906611	906612	906613	906614	906615	906616	906617	906618	906619	906620	906621	906622	906623	906624	906625	906626	906627	906628	906629	906630	906631	906632	906633	906634	906635	906636	906637	906638																																																														
94660	7301	9290	3	1		Hanged Man III (Enhanced)	1			0		Mo1DiaorensanxingMd000001		1		1	1	0.2			1.1	1	1.1	1.1		0	5	0.8	2	1.5	0		0.3	10									4.4	0							3			1		90660098	90660096	90660094	90660092		9066	900008	100027	900011	900051	906629	900407	777335					906601	906602	906603	906604	906605	906606	906607	906608	906609	906610	906611	906612	906613	906614	906615	906616	906617	906618	906619	906620	906621	906622	906623	906624	906625	906626	906627	906628	906629	906630	906631	906632	906633	906634	906635	906636	906637	906638																																																														
95660	7301	9391	3	1		Hanged Man III (Extreme)	1			0		Mo1DiaorensanxingMd000001		1		1	1	0.2			1.1	1	1.1	1.1		0	5	0.8	2	1.5	0		0.3	10									4.4	0							3			1		90660098	90660096	90660094	90660092		9066	900008	100027	900011	900051	906629	900407	777335					906601	906602	906603	906604	906605	906606	906607	906608	906609	906610	906611	906612	906613	906614	906615	906616	906617	906618	906619	906620	906621	906622	906623	906624	906625	906626	906627	906628	906629	906630	906631	906632	906633	906634	906635	906636	906637	906638																																																														
93790	7302	9190	3	1		Guardian I (Basic)	1			0		Me1DiaorenyixingMd000001		1		1	1	1			1	1	1			0	5	0.8	2	1.5	0		0.3	10									2.1	0							3			1		90780098	90780096	90780094	90780092		9079	900008	100027	900011	900051	907929	777335						907901	907902	907903	907904	907905	907906	907907	907908	907909	907910	907911	907912	907913	907914	907915	907916	907917	907918	907919	907920	907921	907922	907923	907924	907925	907926	907927	907928	907929	907930																																																																						
94790	7302	9290	3	1		Guardian I (Enhanced)	1			0		Me1DiaorenyixingMd000001		1		1	1	1			1	1	1			0	5	0.8	2	1.5	0		0.3	10									2.1	0							3			1		90780098	90780096	90780094	90780092		9079	900008	100027	900011	900051	907929	777335						907901	907902	907903	907904	907905	907906	907907	907908	907909	907910	907911	907912	907913	907914	907915	907916	907917	907918	907919	907920	907921	907922	907923	907924	907925	907926	907927	907928	907929	907930																																																																						
95790	7302	9391	3	1		Guardian I (Extreme)	1			0		Me1DiaorenyixingMd000001		1		1	1	1			1	1	1			0	5	0.8	2	1.5	0		0.3	10									2.1	0							3			1		90780098	90780096	90780094	90780092		9079	900008	100027	900011	900051	907929	777335						907901	907902	907903	907904	907905	907906	907907	907908	907909	907910	907911	907912	907913	907914	907915	907916	907917	907918	907919	907920	907921	907922	907923	907924	907925	907926	907927	907928	907929	907930																																																																						
93220	7303	9190	2	2		Gun (Basic)	1			0		Me1YijiwajuezheMd000001		1		0.5	0.5	0.1			1.2	1	1.2			0	5	0.8	2	1.5			0.7	20									1.9	0							3			0.5		90220098	90220096	90220094	90220092		9022	900008	100027	900011	900051	777335							902201	902202	902203	902204	902205	902206	902207	902208	902209	902210	902211																																																																																									
94220	7303	9290	2	2		Gun (Enhanced)	1			0		Me1YijiwajuezheMd000001		1		0.5	0.5	0.1			1.2	1	1.2			0	5	0.8	2	1.5			0.7	20									1.9	0							3			0.5		90220098	90220096	90220094	90220092		9022	900008	100027	900011	900051	777335							902201	902202	902203	902204	902205	902206	902207	902208	902209	902210	902211																																																																																									
95220	7303	9391	2	2		Gun (Extreme)	1			0		Me1YijiwajuezheMd000001		1		0.5	0.5	0.1			1.2	1	1.2			0	5	0.8	2	1.5			0.7	20									1.9	0							3			0.5		90220098	90220096	90220094	90220092		9022	900008	100027	900011	900051	777335							902201	902202	902203	902204	902205	902206	902207	902208	902209	902210	902211																																																																																									
93250	7301	9190	2	2		Ronin IV (Basic)	1			0		Mo1LangrensixingMd000001		1		0.8	0.8	0.2			1.2	1	1.2			0	3	0.8	2	1.5			0.3	20									2.5	0							3			1.1		90250098	90250096	90250094	90250092		9025	900008	100027	900011	900033	777335							902501	902502	902503	902504	902505	902506																																																																																														
94250	7301	9290	2	2		Ronin IV (Enhanced)	1			0		Mo1LangrensixingMd000001		1		0.8	0.8	0.2			1.2	1	1.2			0	3	0.8	2	1.5			0.3	20									2.5	0							3			1.1		90250098	90250096	90250094	90250092		9025	900008	100027	900011	900033	777335							902501	902502	902503	902504	902505	902506																																																																																														
95250	7301	9391	2	2		Ronin IV (Extreme)	1			0		Mo1LangrensixingMd000001		1		0.8	0.8	0.2			1.2	1	1.2			0	3	0.8	2	1.5			0.3	20									2.5	0							3			1.1		90250098	90250096	90250094	90250092		9025	900008	100027	900011	900033	777335							902501	902502	902503	902504	902505	902506																																																																																														
93160	7304	9391	3	3		Gung-hoer (Extreme)	1			0		Mo1GangsterMd000001		1		1	1	1			1	1	1			0	5	0.8	2	1.5	0		0.3	10									0.05	0							3			0.7		93110098	93110096	93110094	93110092		9316	900007	900008	100027	900011	900051	906401						931601	931602	931603	931604	931605	931606	931607	931608	931609	931610	931611	931612	931613																																																																																							
93161	7304	9290	3	2		Gung-hoer (Enhanced)	1			0		Mo1GangsterMd000001		1		1	1	1			1	1	1			0	5	0.8	2	1.5	0		0.3	10									0.05	0							3			0.7		93110098	93110096	93110094	93110092		9316	900007	900008	100027	900011	900051	906401						931601	931602	931603	931604	931605	931606	931607	931608	931609	931610	931611	931612	931613																																																																																							
93162	7304	9190	3	2		Gung-hoer (Basic)	1			0		Mo1GangsterMd000001		1		1	1	1			1	1	1			0	5	0.8	2	1.5			0.3	10									0.05	0							3			0.7		93110098	93110096	93110094	93110092		9316	900007	900008	100027	900011	900051	906401						931601	931602	931603	931604	931605	931606	931607	931608	931609	931610	931611	931612	931613																																																																																							
93130	7401	9391	2	2		God Slayer (Extreme)	1			0		Me1KeyboardistMd000001		1		1	1	1			1	1	1			0	5	0.8	2	1.5	0		0.3	10									0	0							3			0.7		93130098	93130096	93130094	93130092		9313	900007	900008	100027	900011	900051	930734	930709					931301	931302	931303	931304	931305	931306	931307	931308	931309	931310	931311	931312	931313	931314	931315	931316	931317																																																																																			
93131	7401	9290	2	2		God Slayer (Enhanced)	1			0		Me1KeyboardistMd000001		1		1	1	1			1	1	1			0	5	0.8	2	1.5	0		0.3	10									0	0							3			0.7		93130098	93130096	93130094	93130092		9313	900007	900008	100027	900011	900051	930734	930709					931301	931302	931303	931304	931305	931306	931307	931308	931309	931310	931311	931312	931313	931314	931315	931316	931317																																																																																			
93132	7401	9190	2	2		God Slayer (Basic)	1			0		Me1KeyboardistMd000001		1		1	1	1			1	1	1			0	5	0.8	2	1.5	0		0.3	10									0	0							3			0.7		93130098	93130096	93130094	93130092		9313	900007	900008	100027	900011	900051	930734	930709					931301	931302	931303	931304	931305	931306	931307	931308	931309	931310	931311	931312	931313	931314	931315	931316	931317																																																																																			
93140	7402	9391	3	2		Heaven Breaker (Extreme)	1			0		Me1GuitaristMd000001		1		1	1	1			1	1	1			0	5	0.8	2	1.5	0		0.3	10									0	0							3			1		93110098	93110096	93110094	93110092		9314	900007	900008	100027	900011	900051	931412						931401	931402	931403	931404	931405	931406	931407	931408	931409	931410	931411	931412	931413	931414	931415	931416																																																																																				
93141	7402	9290	3	2		Heaven Breaker (Enhanced)	1			0		Me1GuitaristMd000001		1		1	1	1			1	1	1			0	5	0.8	2	1.5	0		0.3	10									0	0							3			0.7		93110098	93110096	93110094	93110092		9314	900007	900008	100027	900011	900051	931412						931401	931402	931403	931404	931405	931406	931407	931408	931409	931410	931411	931412	931413	931414	931415	931416																																																																																				
93142	7402	9190	3	2		Heaven Breaker (Basic)	1			0		Me1GuitaristMd000001		1		1	1	1			1	1	1			0	5	0.8	2	1.5	0		0.3	10									0	0							3			1		93110098	93110096	93110094	93110092		9314	900007	900008	100027	900011	900051	931412						931401	931402	931403	931404	931405	931406	931407	931408	931409	931410	931411	931412	931413	931414	931415	931416																																																																																				
93120	7403	9391	2	2		Demon Bane (Extreme)	1			0		Me1DrummerMd000001		1		1	1	1			1	1	1			0	5	0.8	2	1.5	0		0.3	10									0	0							3			0.7		93110098	93110096	93110094	93110092		9312	900007	900008	100027	900011	900051							931201	931202	931203	931204	931205	931206	931207	931208	931209	931210	931211	931212	931213	931214	931215	931216	931217	931218	931219	931220																																																																																
93121	7403	9290	2	2		Demon Bane (Enhanced)	1			0		Me1DrummerMd000001		1		1	1	1			1	1	1			0	5	0.8	2	1.5	0		0.3	10									0	0							3			0.7		93110098	93110096	93110094	93110092		9312	900007	900008	100027	900011	900051							931201	931202	931203	931204	931205	931206	931207	931208	931209	931210	931211	931212	931213	931214	931215	931216	931217	931218	931219	931220																																																																																
93122	7403	9190	2	2		Demon Bane (Basic)	1			0		Me1DrummerMd000001		1		1	1	1			1	1	1			0	5	0.8	2	1.5	0		0.3	10									0	0							3			0.7		93110098	93110096	93110094	93110092		9312	900007	900008	100027	900011	900051							931201	931202	931203	931204	931205	931206	931207	931208	931209	931210	931211	931212	931213	931214	931215	931216	931217	931218	931219	931220																																																																																
