Id	AttribId	PromotedId	Kind	Type	Name	MoveUseFaceDir	HasRunTilt	HasSquatState	AttribType	SquatMotionOffset	ModelId	BaseHeight	ColliderType	PolygonId	BodyRadius	CameraCollideRadius	HitRadius	IgnoreCollisionToNpc	IgnoreCollisionFromNpc	ModelScale	OffsetScale	EffectScale	MissileScale	UiResId	BossHp	HpWdigetCount	HpWidgetHeight	HpWidgetType	RollCharHeight	LieOnFloorTime	StandUpTailTime	StandUpImmuneHitTime	MaxHitValue	BeHitInterval	ImmuneHitLevel	Ball	RandomBall	AttackSkillId	DodgeSkillId	CatchType	NoThreat	NotToThreatTarget	DeathTime	HasRunToStand	HasRunStart	HasStandTransition	WalkMotionOffset	RunMotionOffset	HasSprintState	SprintMotionOffset	HasSprintTilt	HasSprintToStand	CollisionPriority	ForceSqueezeOut	UseShadowMesh	ShadowQuadScale	DisableMotionRotation	DeathMagic[1]	DeathMagic[2]	DeathMagic[3]	DeathMagic[4]	RobotBornMagic[1]	BornMagic[1]	BornMagic[2]	BornMagic[3]	BornMagic[4]	BornMagic[5]	BornMagic[6]	BornMagic[7]	BornMagic[8]	BornMagic[9]	BornMagic[10]	BornMagic[11]	BornMagic[12]	SkillId[1]	SkillId[2]	SkillId[3]	SkillId[4]	SkillId[5]	SkillId[6]	SkillId[7]	SkillId[8]	SkillId[9]	SkillId[10]	SkillId[11]	SkillId[12]	SkillId[13]	SkillId[14]	SkillId[15]	SkillId[16]	SkillId[17]	SkillId[18]	SkillId[19]	SkillId[20]	SkillId[21]	SkillId[22]	SkillId[23]	SkillId[24]	SkillId[25]	SkillId[26]	SkillId[27]	SkillId[28]	SkillId[29]	SkillId[30]	SkillId[31]	SkillId[32]	SkillId[33]	SkillId[34]	SkillId[35]	SkillId[36]	SkillId[37]	SkillId[38]	SkillId[39]	SkillId[40]	SkillId[41]	SkillId[42]	SkillId[43]	SkillId[44]	SkillId[45]	SkillId[46]	SkillId[47]	SkillId[48]	SkillId[49]	SkillId[50]	SkillId[51]	SkillId[52]	SkillId[53]	SkillId[54]	SkillId[55]	SkillId[56]	SkillId[57]	SkillId[58]	SkillId[59]	SkillId[60]	SkillId[61]	SkillId[62]	SkillId[63]	SkillId[64]	SkillId[65]	SkillId[66]	SkillId[67]	SkillId[68]	SkillId[69]	SkillId[70]	SkillId[71]	SkillId[72]	SkillId[73]	SkillId[74]	SkillId[75]	SkillId[76]	SkillId[77]	SkillId[78]	SkillId[79]	SkillId[80]	SkillId[81]	SkillId[82]	SkillId[83]	SkillId[84]	SkillId[85]	SkillId[86]	SkillId[87]	SkillId[88]	SkillId[89]	SkillId[90]	SkillId[91]	SkillId[92]	SkillId[93]	SkillId[94]	SkillId[95]	SkillId[96]	SkillId[97]	SkillId[98]	SkillId[99]	SkillId[100]
8530	9305	9399	1	2	Moon Eater - Stage 1: Broken Branch	1			0		Mb1MoonguyMd010001		1		1	1	0	1		1	1	1			1	30	0.8	2	1.5	0			10										2.6	1	1			0	0				3	0	1		1	85300098	85300096	85300094	85300092		8530												853001	853002	853003	853004	853005	853006	853007	853008	853009	853010	853011	853012	853013	853014	853015	853016	853017	853018	853019	853020	853021	853022	853023	853024	853025	853026	853027	853028	853029																																																																							
8531	9305	9399	1	2	Moon Eater - Stage 2: Blooming Flower	1			0		Mb1MoonguyMd010001		1		2	1	0	1		1	1	1			1	30	0.8	2	1.5	0			10										2.6	1	1			0	0				3	0	1			85310098	85310096	85310094	85310092		8531												853101	853102	853103	853104	853105	853106	853107	853108	853109	853110	853111	853112	853113	853114	853115	853116	853117	853118	853119	853120	853121	853122	853123																																																																													
8532	9305	9399	1	2	Moon Eater - Damaged Collision Body	1			0				1		1	1	0.2	1		1	1	1			1	30	0.8	2	1.5	0			10										2.6	1	1			0	0				3	0	1			85320098	85320096	85320094	85320092			853009	853003	853064																																																																																																												
8533	9305	9399	1	2	Moon Eater - Placeholder Collision Body	1			0				1		1	1	0	1		1	1	1			1	30	0.8	2	1.5	0			10										2.6	1	1			0	0				3	0	1			85330098	85330096	85330094	85330092			853009																																																																																																														
8534	9305	9399	1	2	Moon Eater - Minion	1			0		Mo1MoonlighterMd010001		1		0.1	1	1	1		0.7	1	0.9			1	30	0.8	2	1.5	0			10										2.6	1	1			0	0				3	0	1			85340098	85340096	85340094	85340092		8534	853027	853003	853004	853007	853009							853401	853402	853403	853404																																																																																																
8550	8550	9322	1	2	Hetero-Humanoid: Chiko	1			0		Mb1LostwomenMd010001		1		5	1	0	1	1	1	1	1			1	1	0.8	2	1.5	0			10										2.6	1	1			0	0				3	0	1			85500098	85500096	85500094	85500092		8550	855073	855045										855001	855002	855003	855004	855005	855006	855007	855008	855009	855010	855011	855012	855013	855014	855015	855016	855017	855018	855019	855020	855021																																																																															
8551	9305	9399	1	2	Hetero-Humanoid: Chiko - Test Motorcycle	1			0		Mb1MotorMd000001		1		1	1	0	1	1	1	1	1			1	30	0.8	2	1.5	0			10										2.6	1	1			0	0				3	0	1			85510098	85510096	85510094	85510092		8551												855101	855102																																																																																																		
8552	9305	9399	1	2	Hetero-Humanoid: Chiko - Eye Collision Body	1			0				1		1	1	0	1	1	1	1	1			1	30	0.8	2	1.5	0			10										2.6	1	1			0	0				3	0	1			85520098	85520096	85520094	85520092			855019	855073	855045																																																																																																												
8553	1014	9399	1	2	Hetero-Humanoid: Chiko - Test Bianca	1			0		Mb1LostbiankaMd010001		1		1	1	0	1		1	1	1			1	30	0.8	2	1.5	0			10										2.6	1	1			0	0				3	0	1			85530098	85530096	85530094	85530092		8553	995982	855985										855301	855302	855303	855304	855305	855306	855307	855308																																																																																												
8554	9305	9305	3	2	Hetero-Humanoid: Chiko - Red Tide Projection	1			0		Mo1RefugeeMd000001		1		0.1	0	0	1	1	1	1	1			1	30	0.8	2	1.5	0			10										2.6	1	1			0	0				3	0		0.1		85540098	85540096	85540094	85540092			855952	855045	855073									855401	855402																																																																																																		
