Role	Animation	Layer	TotalFrame	TailLength
Mb1TankarmorMd030001	Attack01	0	36	0
Mb1TankarmorMd030001	Attack02	0	36	0
Mb1TankarmorMd030001	Attack03	0	60	0
Mb1TankarmorMd030001	Attack04	0	87	0
Mb1TankarmorMd030001	Attack05	0	44	0
Mb1TankarmorMd030001	Attack06	0	39	0
Mb1TankarmorMd030001	Attack14	0	34	0
Mb1TankarmorMd030001	Attack15	0	34	0
Mb1TankarmorMd030001	Attack16	0	81	0
Mb1TankarmorMd030001	Attack17	0	41	0
Mb1TankarmorMd030001	Attack18	0	59	0
Mb1TankarmorMd030001	Attack19	0	20	0
Mb1TankarmorMd030001	Attack21	0	35	0
Mb1TankarmorMd030001	Attack22	0	35	0
Mb1TankarmorMd030001	Attack23	0	21	0
Mb1TankarmorMd030001	Attack24	0	31	0
Mb1TankarmorMd030001	Attack25	0	29	0
Mb1TankarmorMd030001	Attack26	0	29	0
Mb1TankarmorMd030001	Born	0	47	0
Mb1TankarmorMd030001	Run	0	34	0
Mb1TankarmorMd030001	Stand1	0	41	0
Mb1TankarmorMd030001	Stand2	0	41	0
