Role	Animation	Layer	TotalFrame	TailLength
Mo1DiaorensanxingMd000002	Attack01	0	61	0
Mo1DiaorensanxingMd000002	Attack02	0	67	0
Mo1DiaorensanxingMd000002	Attack03	0	87	0
Mo1DiaorensanxingMd000002	Attack04	0	14	0
Mo1DiaorensanxingMd000002	Attack05	0	40	0
Mo1DiaorensanxingMd000002	Attack06	0	83	0
Mo1DiaorensanxingMd000002	Attack07	0	72	0
Mo1DiaorensanxingMd000002	Attack08	0	69	0
Mo1DiaorensanxingMd000002	Attack09	0	53	0
Mo1DiaorensanxingMd000002	Attack10	0	20	0
Mo1DiaorensanxingMd000002	Attack11	0	70	0
Mo1DiaorensanxingMd000002	Attack12	0	25	0
Mo1DiaorensanxingMd000002	Attack13	0	36	0
Mo1DiaorensanxingMd000002	Attack14	0	14	0
Mo1DiaorensanxingMd000002	Attack15	0	44	0
Mo1DiaorensanxingMd000002	Attack16	0	48	0
Mo1DiaorensanxingMd000002	Attack17	0	57	0
Mo1DiaorensanxingMd000002	Behitfly	0	11	0
Mo1DiaorensanxingMd000002	Born	0	25	0
Mo1DiaorensanxingMd000002	Death	0	70	0
Mo1DiaorensanxingMd000002	Falldown	0	21	0
Mo1DiaorensanxingMd000002	Hit1	0	21	0
Mo1DiaorensanxingMd000002	Hit2	0	22	0
Mo1DiaorensanxingMd000002	Hit3	0	33	0
Mo1DiaorensanxingMd000002	Hit4	0	33	0
Mo1DiaorensanxingMd000002	Hitdown	0	33	0
Mo1DiaorensanxingMd000002	Hoverhit	0	9	0
Mo1DiaorensanxingMd000002	Lieonfloor	0	9	0
Mo1DiaorensanxingMd000002	Run	0	13	0
Mo1DiaorensanxingMd000002	Stand1	0	34	0
Mo1DiaorensanxingMd000002	Stand2	0	34	0
Mo1DiaorensanxingMd000002	Standup	0	41	0
Mo1DiaorensanxingMd000002	Walk	0	27	0
Mo1DiaorensanxingMd000002	Walkb	0	27	0
Mo1DiaorensanxingMd000002	Walkl	0	34	0
Mo1DiaorensanxingMd000002	Walkr	0	34	0
Mo1DiaorensanxingMd000002	Attack01	1	112	0
Mo1DiaorensanxingMd000002	Attack04	1	70	0
Mo1DiaorensanxingMd000002	Attack05	1	97	0
Mo1DiaorensanxingMd000002	Attack06	1	87	0
Mo1DiaorensanxingMd000002	Attack07	1	44	0
Mo1DiaorensanxingMd000002	Attack08	1	70	0
Mo1DiaorensanxingMd000002	Born	1	34	0
Mo1DiaorensanxingMd000002	Death1	1	79	0
Mo1DiaorensanxingMd000002	Death2	1	34	0
Mo1DiaorensanxingMd000002	Stand1	1	34	0
Mo1DiaorensanxingMd000002	Stand2	1	34	0
Mo1DiaorensanxingMd000002	Walk	1	27	0
Mo1DiaorensanxingMd000002	Attack01	2	48	0
Mo1DiaorensanxingMd000002	Attack02	2	80	0
Mo1DiaorensanxingMd000002	Attack03	2	57	0
Mo1DiaorensanxingMd000002	Attack04	2	71	0
Mo1DiaorensanxingMd000002	Attack05	2	44	0
Mo1DiaorensanxingMd000002	Attack06	2	44	0
Mo1DiaorensanxingMd000002	Attack08	2	70	0
Mo1DiaorensanxingMd000002	Attack20	2	48	0
Mo1DiaorensanxingMd000002	Born	2	34	0
Mo1DiaorensanxingMd000002	Death	2	34	0
Mo1DiaorensanxingMd000002	Stand1	2	34	0
Mo1DiaorensanxingMd000002	Stand2	2	34	0
Mo1DiaorensanxingMd000002	Walk	2	40	0
Mo1DiaorensanxingMd000002	Walkb	2	40	0
