Role	Animation	Layer	TotalFrame	TailLength
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Stand2	0	40	0
Mb1LostwomenMd010001	Attack01	0	151	0
Mb1LostwomenMd010001	Attack03	0	80	0
Mb1LostwomenMd010001	Attack04	0	52	0
Mb1LostwomenMd010001	Attack05	0	121	0
Mb1LostwomenMd010001	Attack06	0	150	0
Mb1LostwomenMd010001	Attack07	0	175	0
Mb1LostwomenMd010001	Attack08	0	262	0
Mb1LostwomenMd010001	Attack09	0	107	0
Mb1LostwomenMd010001	Attack11	0	205	0
Mb1LostwomenMd010001	Attack12	0	346	0
Mb1LostwomenMd010001	Attack13	0	81	0
Mb1LostwomenMd010001	Attack15	0	107	0
Mb1LostwomenMd010001	Attack27	0	54	0
Mb1LostwomenMd010001	Attack28	0	45	0
