Role	Animation	Layer	TotalFrame	TailLength
Mb1CubejiaoMd000001	Attack01	0	57	0
Mb1CubejiaoMd000001	Attack02	0	47	0
Mb1CubejiaoMd000001	Attack03	0	56	0
Mb1CubejiaoMd000001	Attack04	0	61	0
Mb1CubejiaoMd000001	Attack05	0	47	0
Mb1CubejiaoMd000001	Attack06	0	54	0
Mb1CubejiaoMd000001	Attack07	0	49	0
Mb1CubejiaoMd000001	Attack08	0	41	0
Mb1CubejiaoMd000001	Attack09	0	49	0
Mb1CubejiaoMd000001	Attack10	0	80	0
Mb1CubejiaoMd000001	Attack11	0	40	0
Mb1CubejiaoMd000001	Attack12	0	73	0
Mb1CubejiaoMd000001	Attack13	0	41	0
Mb1CubejiaoMd000001	Born	0	75	0
Mb1CubejiaoMd000001	Death	0	74	0
Mb1CubejiaoMd000001	Run	0	41	0
Mb1CubejiaoMd000001	Stand2	0	41	0
Mb1CubejiaoMd000001	Walk	0	41	0
