Role	Animation	Layer	TotalFrame	TailLength
Mb1LadyMd10001	Attack01	0	70	0
Mb1LadyMd10001	Attack02	0	31	0
Mb1LadyMd10001	Attack03	0	25	0
Mb1LadyMd10001	Attack04	0	61	0
Mb1LadyMd10001	Attack05	0	80	0
Mb1LadyMd10001	Attack06	0	15	0
Mb1LadyMd10001	Attack07	0	11	0
Mb1LadyMd10001	Attack08	0	21	0
Mb1LadyMd10001	Attack09	0	10	0
Mb1LadyMd10001	Attack11	0	43	0
Mb1LadyMd10001	Attack12	0	25	0
Mb1LadyMd10001	Born	0	114	0
Mb1LadyMd10001	Death	0	56	0
Mb1LadyMd10001	Run	0	14	0
Mb1LadyMd10001	Stand1	0	27	0
Mb1LadyMd10001	Stand2	0	27	0
Mb1LadyMd10001	Walk	0	34	0
Mb1LadyMd10001	Walkb	0	34	0
