Role	Animation	Layer	TotalFrame	TailLength
Mb1YijutifangkuaiMd000001	Attack01	0	20	0
Mb1YijutifangkuaiMd000001	Attack02	0	14	0
Mb1YijutifangkuaiMd000001	Attack03	0	21	0
Mb1YijutifangkuaiMd000001	Attack04	0	20	0
Mb1YijutifangkuaiMd000001	Attack05	0	14	0
Mb1YijutifangkuaiMd000001	Attack06	0	21	0
Mb1YijutifangkuaiMd000001	Attack07	0	20	0
Mb1YijutifangkuaiMd000001	Attack08	0	14	0
Mb1YijutifangkuaiMd000001	Attack09	0	20	0
Mb1YijutifangkuaiMd000001	Attack10	0	20	0
Mb1YijutifangkuaiMd000001	Attack11	0	14	0
Mb1YijutifangkuaiMd000001	Attack12	0	21	0
