Role	Animation	Layer	TotalFrame	TailLength
Mb1MotorMd000001	Hit1	0	32	0
Mb1MotorMd000001	Move1	0	47	0
Mb1MotorMd000001	Run	0	22	0
Mb1MotorMd000001	Runl	0	11	0
Mb1MotorMd000001	Runr	0	11	0
Mb1MotorMd000001	Stand1	0	66	0
Mb1MotorMd000001	Standup	0	45	0
Mb1MotorMd000001	Attack01	1	25	0
Mb1MotorMd000001	Attack02	1	58	0
Mb1MotorMd000001	Attack03	1	79	0
Mb1MotorMd000001	Attack04	1	91	0
Mb1MotorMd000001	Hit2	1	32	0
Mb1MotorMd000001	Move1	1	44	0
Mb1MotorMd000001	Run	1	47	0
Mb1MotorMd000001	Runl	1	47	0
Mb1MotorMd000001	Runr	1	47	0
Mb1MotorMd000001	Stand1	1	47	0
