Role	Animation	Layer	TotalFrame	TailLength
Mb1OrphanMd030002	Attack01	0	72	0
Mb1OrphanMd030002	Attack02	0	67	0
Mb1OrphanMd030002	Attack03	0	49	0
Mb1OrphanMd030002	Attack04	0	45	0
Mb1OrphanMd030002	Attack05	0	87	0
Mb1OrphanMd030002	Attack06	0	45	0
Mb1OrphanMd030002	Attack07	0	9	0
Mb1OrphanMd030002	Attack08	0	47	0
Mb1OrphanMd030002	Attack09	0	40	0
Mb1OrphanMd030002	Attack10	0	67	0
Mb1OrphanMd030002	Attack11	0	63	0
Mb1OrphanMd030002	Death	0	72	0
Mb1OrphanMd030002	Run	0	17	0
Mb1OrphanMd030002	Stand1	0	48	0
Mb1OrphanMd030002	Stun	0	24	0
Mb1OrphanMd030002	Walk	0	27	0
Mb1OrphanMd030002	Walkb	0	27	0
Mb1OrphanMd030002	Walkl	0	27	0
Mb1OrphanMd030002	Walkr	0	27	0
