Role	Animation	Layer	TotalFrame	TailLength
Mb1OsirisMd000001	Attack01	0	37	0
Mb1OsirisMd000001	Attack02	0	33	0
Mb1OsirisMd000001	Attack03	0	53	0
Mb1OsirisMd000001	Attack05	0	25	0
Mb1OsirisMd000001	Attack06	0	37	0
Mb1OsirisMd000001	Attack07	0	41	0
Mb1OsirisMd000001	Attack08	0	115	0
Mb1OsirisMd000001	Attack09	0	24	0
Mb1OsirisMd000001	Attack11	0	23	0
Mb1OsirisMd000001	Attack12	0	13	0
Mb1OsirisMd000001	Attack13	0	45	0
Mb1OsirisMd000001	Attack14	0	54	0
Mb1OsirisMd000001	Born	0	43	0
Mb1OsirisMd000001	Death	0	95	0
Mb1OsirisMd000001	Run	0	27	0
Mb1OsirisMd000001	Stand2	0	27	0
Mb1OsirisMd000001	Walk	0	27	0
