Command	StageId	Equip	Character[1]	Character[2]	Character[3]	Character[4]	Character[5]	Character[6]	Character[7]	Character[8]	Character[9]	Character[10]	Character[11]	Character[12]	Character[13]	Character[14]	Character[15]	Character[16]	Character[17]	Character[18]	Character[19]	Character[20]	Character[21]	Character[22]	Character[23]	Character[24]	Character[25]	Character[26]	Character[27]	Character[28]	Character[29]	Character[30]	Character[31]	Character[32]	Character[33]	Character[34]
bs301	11080202	1,0,1|2,0,10|3,1,10|4,0,20	1011002,2,30,2,5	1021001,2,30,2,5	1031001,3,30,2,5	1041002,3,30,2,5																														
bs302	11080202	1,0,1|2,0,10|3,1,10|4,1,25	1011002,2,30,2,5	1021001,2,30,2,5	1031001,3,30,2,5	1041002,3,30,2,5	1051001,4,30,3,10																													
bs401	11080202	1,0,1|2,0,10|3,1,10|4,0,20	1011002,2,40,2,10	1021001,2,40,2,10	1031001,3,40,2,10	1041002,3,40,2,10																														
bs402	11080202	1,0,1|2,0,10|3,1,10|4,1,25	1011002,2,40,2,10	1021001,2,40,2,10	1031001,3,40,2,10	1041002,3,40,2,10	1051001,4,40,3,15																													
bs001	11080202	1,0,1|2,0,10|3,1,10|4,0,20	1021001,2,20,2,5	1031001,2,20,2,5	1051001,2,20,2,5	1011002,2,20,2,5	1041002,2,20,2,5	1061002,2,20,2,5	1081002,2,20,2,5	1071002,2,20,2,5	1021002,2,20,2,5	1071003,2,20,2,5																								
bs1	10080304	3,0,1|4,0,1|5,0,1|6,0,1	1011002,3,1,1,1	1021001,3,1,1,1	1031001,3,1,1,1	1041002,3,1,1,1	1051001,3,1,1,1	1061002,3,1,1,1	1071002,3,1,1,1	1081002,3,1,1,1	1021002,3,1,1,1	1031002,3,1,1,1	1031003,3,1,1,1	1011003,3,1,1,1	1071003,3,1,1,1	1061003,3,1,1,1	1051003,3,1,1,1	1021003,3,1,1,1																		
bs20	10080304	3,0,15|4,0,20|5,0,25|6,0,25	1011002,2,20,2,1	1021001,1,20,2,1	1031001,1,20,2,1	1041002,2,20,2,1	1051001,1,20,2,1	1061002,2,20,2,1	1071002,2,20,2,1	1081002,2,20,2,1	1021002,2,20,2,1	1031002,2,20,2,1	1031003,3,20,2,1	1011003,3,20,2,1	1071003,3,20,2,1	1061003,3,20,2,1	1051003,3,20,2,1	1021003,3,20,2,1																		
bs30	10080304	3,0,15|4,1,25|5,1,30|6,1,30	1011002,2,30,4,3	1021001,1,30,4,3	1031001,1,30,4,3	1041002,2,30,4,3	1051001,1,30,4,3	1061002,2,30,4,3	1071002,2,30,4,3	1081002,2,30,4,3	1021002,2,30,4,3	1031002,2,30,4,3	1031003,3,30,4,3	1011003,3,30,4,3	1071003,3,30,4,3	1061003,3,30,4,3	1051003,3,30,4,3	1021003,3,30,4,3																		
bs40	10080304	3,0,15|4,1,25|5,1,30|6,1,30	1011002,2,40,5,6	1021001,1,40,5,6	1031001,1,40,5,6	1041002,2,40,5,6	1051001,1,40,5,6	1061002,2,40,5,6	1071002,2,40,5,6	1081002,2,40,5,6	1021002,2,40,5,6	1031002,2,40,5,6	1031003,3,40,5,6	1011003,3,40,5,6	1071003,3,40,5,6	1061003,3,40,5,6	1051003,3,40,5,6	1021003,3,40,5,6																		
bs50	10080304	3,0,15|4,1,25|5,2,35|6,2,35	1011002,2,50,6,9	1021001,1,50,6,9	1031001,1,50,6,9	1041002,2,50,6,9	1051001,1,50,6,9	1061002,2,50,6,9	1071002,2,50,6,9	1081002,2,50,6,9	1021002,2,50,6,9	1031002,2,50,6,9	1031003,3,50,6,9	1011003,3,50,6,9	1071003,3,50,6,9	1061003,3,50,6,9	1051003,3,50,6,9	1021003,3,50,6,9																		
