Id	Name	FightEventId	CharacterId	SynthesisId	SynthesisCount	Capacity	Quality	Icon	ResolveId	ResolveCount	Exp	Description	IsShowInLibrary	Priority
18100001	2★ Add-on	51031				1	2	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	62803	10	10	Receive 2★ Add-on when you clear the 5th floor of the Infinite Abyss. There is a chance for higher quality Add-ons to drop.	0	0
18100002	3★ Add-on	51031				1	3	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	62803	10	10	Receive 3★ Add-on when you clear the 10th floor of the Infinite Abyss. There is a chance for higher quality Add-ons to drop.	0	0
18100003	4★ Add-on	51031				1	4	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	62803	10	10	Receive 4★ Add-on when you clear the 15th floor of the Infinite Abyss. There is a chance for higher quality Add-ons to drop.	0	0
18100004	5★ Add-on	51031				1	5	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	62803	10	10	Receive 5★ Add-on when you clear the 20th floor of the Infinite Abyss.	0	0
18100005	3★ Add-on	51031				1	3	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	62803	10	10	Receive 3★ Add-on when you clear the 5th floor of the Infinite Abyss. There is a chance for higher quality Add-ons to drop.	0	0
18100006	4★ Add-on	51031				1	4	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	62803	10	10	Receive 4★ Add-on when you clear the 10th floor of the Infinite Abyss. There is a chance for higher quality Add-ons to drop.	0	0
18100007	5★ Add-on	51031				1	5	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	62803	10	10	Receive 5★ Add-on when you clear the 15th floor of the Infinite Abyss. There is a chance for higher quality Add-ons to drop.	0	0
18100008	6★ Add-on	51031				1	6	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	62803	10	10	Receive 6★ Add-on when you clear the 20th floor of the Infinite Abyss.	0	0
18100011	Last Stand: DMG Increase I	221001		18100012	3	1	2	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	62803	10	10	When HP is lower than 33%, all DMG increase by 30%.	0	2010
18100012	Last Stand: DMG Increase II	221002		18100013	3	2	3	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	62803	30	30	When HP is lower than 33%, all DMG increase by 70%.	0	3010
18100013	Last Stand: DMG Increase III	221003		18100014	3	4	4	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	62803	90	90	When HP is lower than 33%, all DMG increase by 110%.	0	4010
18100014	Last Stand: DMG Increase	221004				6	5	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	62803	300	270	When HP is lower than 33%, all DMG increase by 150%.	1	5010
18100021	Last Stand: Balance I	221005		18100022	3	1	2	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	62803	10	10	When HP is higher than 33%, decrease HP by 2% every second. When HP is lower than 33%, DMG received decreases by 10%.	0	2011
18100022	Last Stand: Balance II	221006		18100023	3	2	3	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	62803	30	30	When HP is higher than 33%, decrease HP by 3% every second. When HP is lower than 33%, DMG received decreases by 20%.	0	3011
18100023	Last Stand: Balance III	221007		18100024	3	4	4	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	62803	90	90	When HP is higher than 33%, decrease HP by 4% every second. When HP is lower than 33%, DMG received decreases by 30%.	0	4011
18100024	Last Stand: Balance	221008				6	5	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	62803	300	270	When HP is higher than 33%, decrease HP by 5% every second. When HP is lower than 33%, DMG received decreases by 40%.	1	5011
18100031	Last Stand: Shield I	221009		18100032	3	1	2	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	62803	10	10	When HP is lower than 33%, gain a shield equal to 10% of your max HP. Can be activated once each battle.	0	2012
18100032	Last Stand: Shield II	221010		18100033	3	2	3	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	62803	30	30	When HP is lower than 33%, gain a shield equal to 20% of your max HP. Can be activated once each battle.	0	3012
18100033	Last Stand: Shield III	221011		18100034	3	4	4	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	62803	90	90	When HP is lower than 33%, gain a shield equal to 30% of your max HP. Can be activated once each battle.	0	4012
18100034	Last Stand: Shield	221012				6	5	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	62803	300	270	When HP is lower than 33%, gain a shield equal to 40% of your max HP. Can be activated once each battle.	1	5012
18100041	Skill: DMG Increase I	221013		18100042	3	1	2	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	62803	10	10	When HP is higher than 80%, all DMG increase by 30%. Enter 10s cooldown after receiving DMG from the enemy.	0	2013
18100042	Skill: DMG Increase II	221014		18100043	3	2	3	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	62803	30	30	When HP is higher than 80%, all DMG increase by 70%. Enter 10s cooldown after receiving DMG from the enemy.	0	3013
18100043	Skill: DMG Increase III	221015		18100044	3	4	4	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	62803	90	90	When HP is higher than 80%, all DMG increase by 110%. Enter 10s cooldown after receiving DMG from the enemy.	0	4013
18100044	Skill: DMG Increase	221016				6	5	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	62803	300	270	When HP is higher than 80%, all DMG increase by 150%. Enter 10s cooldown after receiving DMG from the enemy.	1	5013
18100051	Skill: Shield I	221017		18100052	3	1	2	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	62803	10	10	When HP is higher than 80%, gain a Shield that can withstand Attack damage 1 time. Refreshes every 12s.	0	2014
18100052	Skill: Shield II	221018		18100053	3	2	3	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	62803	30	30	When HP is higher than 80%, gain a Shield that can withstand Attack damage 2 times. Refreshes every 12s.	0	3014
18100053	Skill: Shield III	221019		18100054	3	4	4	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	62803	90	90	When HP is higher than 80%, gain a Shield that can withstand Attack damage 3 times. Refreshes every 12s.	0	4014
18100054	Skill: Shield	221020				6	5	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	62803	300	270	When HP is higher than 80%, gain a Shield that can withstand Attack damage 4 times. Refreshes every 12s.	1	5014
18100061	Skill: Recovery I	221021		18100062	3	1	2	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	62803	10	10	When HP is lower than 80%, recover 1% HP every second.	0	2015
18100062	Skill: Recovery II	221022		18100063	3	2	3	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	62803	30	30	When HP is lower than 80%, recover 2% HP every second.	0	3015
18100063	Skill: Recovery III	221023		18100064	3	4	4	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	62803	90	90	When HP is lower than 80%, recover 3% HP every second.	0	4015
18100064	Skill: Recovery	221024				6	5	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	62803	300	270	When HP is lower than 80%, recover 4% HP every second.	1	5015
18100071	Stats: HP I	221025		18100072	3	1	2	Assets/Product/Texture/Image/UiInfestorExplore/Equip012.png	62803	10	10	HP +300	1	2001
18100072	Stats: HP II	221026		18100073	3	2	3	Assets/Product/Texture/Image/UiInfestorExplore/Equip012.png	62803	30	30	HP +500	1	3001
18100073	Stats: HP III	221027		18100074	3	4	4	Assets/Product/Texture/Image/UiInfestorExplore/Equip012.png	62803	90	90	HP +800	1	4001
18100074	Stats: HP IV	221028				6	5	Assets/Product/Texture/Image/UiInfestorExplore/Equip012.png	62803	270	270	HP +1100	1	5001
18100081	Stats: ATK I	221029		18100082	3	1	2	Assets/Product/Texture/Image/UiInfestorExplore/Equip011.png	62803	10	10	ATK +100	1	2002
