Id	Type	Level	Name	CharacterId	Quality	FightEventId	Icon	Description	Priority
200011	20001	1	Last Stand: DMG Increase I		2	221001	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	When HP is lower than 33%, all DMG increase by 30%.	1037
200012	20001	2	Last Stand: DMG Increase II		3	221002	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	When HP is lower than 33%, all DMG increase by 70%.	1038
200013	20001	3	Last Stand: DMG Increase III		4	221003	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	When HP is lower than 33%, all DMG increase by 110%.	1039
200014	20001	4	Last Stand: DMG Increase IV		5	221004	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	When HP is lower than 33%, all DMG increase by 150%.	1040
200021	20002	1	Last Stand: Balance I		2	221005	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	When HP is higher than 33%, decrease HP by 2% every second. When HP is lower than 33%, DMG received decreases by 10%.	1041
200022	20002	2	Last Stand: Balance II		3	221006	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	When HP is higher than 33%, decrease HP by 3% every second. When HP is lower than 33%, DMG received decreases by 20%.	1042
200023	20002	3	Last Stand: Balance III		4	221007	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	When HP is higher than 33%, decrease HP by 4% every second. When HP is lower than 33%, DMG received decreases by 30%.	1043
200024	20002	4	Last Stand: Balance IV		5	221008	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	When HP is higher than 33%, decrease HP by 5% every second. When HP is lower than 33%, DMG received decreases by 40%.	1044
200031	20003	1	Last Stand: Shield I		2	221009	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	When HP is lower than 33%, gain a shield equal to 10% of your max HP. Can be activated once each battle.	1045
200032	20003	2	Last Stand: Shield II		3	221010	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	When HP is lower than 33%, gain a shield equal to 20% of your max HP. Can be activated once each battle.	1046
200033	20003	3	Last Stand: Shield III		4	221011	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	When HP is lower than 33%, gain a shield equal to 30% of your max HP. Can be activated once each battle.	1047
200034	20003	4	Last Stand: Shield IV		5	221012	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	When HP is lower than 33%, gain a shield equal to 40% of your max HP. Can be activated once each battle.	1048
200041	20004	1	Skill: DMG Increase I		2	221013	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	When HP is higher than 80%, all DMG increase by 30%. Enter 10s cooldown after receiving DMG from the enemy.	1049
200042	20004	2	Skill: DMG Increase II		3	221014	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	When HP is higher than 80%, all DMG increase by 70%. Enter 10s cooldown after receiving DMG from the enemy.	1050
200043	20004	3	Skill: DMG Increase III		4	221015	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	When HP is higher than 80%, all DMG increase by 110%. Enter 10s cooldown after receiving DMG from the enemy.	1051
