Id	SimpleName	OpenHour	MapId	PreId	PreProgress	Type	Progress	Bg	StageId[1]	StageId[2]	StageId[3]	StageId[4]	StageId[5]	RewardId[1]	RewardId[2]	RewardId[3]	RewardId[4]	RewardId[5]	StageAbility[1]	StageAbility[2]	StageAbility[3]	StageAbility[4]	StageAbility[5]	MemberCount[1]	MemberCount[2]	MemberCount[3]	MemberCount[4]	MemberCount[5]
1101	NF1-1	0	101			1	1	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon01.png	30180301					531001														
1102	NF1-2	0	101	1101	1	1	1	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon01.png	30180302					531002														
1103	NF1-3	0	101	1102	1	1	1	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon01.png	30180303					531003														
1104	NF1-4	0	101	1103	1	1	1	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon01.png	30180304					531004														
1105	NF1-5	0	101	1104	1	1	1	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon01.png	30180305					531005														
1106	NF1-6	0	101	1105	1	2	5	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon02.png	30180306					531006	531007	531008	531009	531010										
1107	NF1-7	0	101	1106	5	2	5	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon02.png	30180307					531011	531012	531013	531014	531015										
1201	NF2-1	0	102	1107	5	1	1	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon01.png	30180308					532001														
1202	NF2-2	0	102	1201	1	1	1	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon01.png	30180309					532002														
1203	NF2-3	0	102	1202	1	1	1	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon01.png	30180310					532003														
1204	NF2-4	0	102	1203	1	1	1	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon01.png	30180311					532004														
1205	NF2-5	0	102	1204	1	1	1	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon01.png	30180312					532005														
1206	NF2-6	0	102	1205	1	2	5	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon02.png	30180313					532006	532007	532008	532009	532010										
1207	NF2-7	0	102	1206	5	3	3	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon03.png	30180314	30180315	30180316			532011	532012	532013			7700	7700	7700			3	3	3		
