Id	StageId	Tier	MapId	PluginDropId	Score[1]	Score[2]	Score[3]	Score[4]	Score[5]	Score[6]
1	30180501	1	101		10	5	0	0	5	5
2	30180501	2	101		10	5	0	0	5	5
3	30180501	3	101		10	5	0	0	5	5
4	30180501	4	101		10	0	10	0	5	5
5	30180501	5	101	161011	10	0	0	20	5	5
6	30180502	6	101		10	5	0	0	5	10
7	30180502	7	101		10	5	0	0	5	10
8	30180502	8	101		10	5	0	0	5	10
9	30180502	9	101		10	0	10	0	5	10
10	30180502	10	101	161012	10	0	0	20	5	10
11	30180503	11	101		15	5	0	0	5	20
12	30180503	12	101		15	5	0	0	5	20
13	30180503	13	101		15	5	0	0	5	20
14	30180503	14	101		15	0	10	0	5	20
15	30180503	15	101	161013	15	0	0	20	5	20
16	30180504	16	101		20	5	0	0	5	20
17	30180504	17	101		20	5	0	0	5	20
18	30180504	18	101		20	5	0	0	5	20
19	30180504	19	101		20	0	10	0	5	20
20	30180504	20	101	161014	20	0	0	20	5	20
21	30180511	1	102		10	5	0	0	5	5
22	30180511	2	102		10	5	0	0	5	5
23	30180511	3	102		10	5	0	0	5	5
24	30180511	4	102		10	0	10	0	5	5
25	30180511	5	102	161021	10	0	0	20	5	5
26	30180512	6	102		10	5	0	0	5	10
27	30180512	7	102		10	5	0	0	5	10
28	30180512	8	102		10	5	0	0	5	10
29	30180512	9	102		10	0	10	0	5	10
30	30180512	10	102	161022	10	0	0	20	5	10
31	30180513	11	102		15	5	0	0	5	20
32	30180513	12	102		15	5	0	0	5	20
33	30180513	13	102		15	5	0	0	5	20
34	30180513	14	102		15	0	10	0	5	20
35	30180513	15	102	161023	15	0	0	20	5	20
36	30180514	16	102		20	5	0	0	5	20
37	30180514	17	102		20	5	0	0	5	20
38	30180514	18	102		20	5	0	0	5	20
39	30180514	19	102		20	0	10	0	5	20
40	30180514	20	102	161024	20	0	0	20	5	20
41	30180521	1	103		10	5	0	0	5	5
42	30180521	2	103		10	5	0	0	5	5
43	30180521	3	103		10	5	0	0	5	5
44	30180521	4	103		10	0	10	0	5	5
45	30180521	5	103	161031	10	0	0	20	5	5
46	30180522	6	103		10	5	0	0	5	10
47	30180522	7	103		10	5	0	0	5	10
48	30180522	8	103		10	5	0	0	5	10
49	30180522	9	103		10	0	10	0	5	10
50	30180522	10	103	161032	10	0	0	20	5	10
51	30180523	11	103		15	5	0	0	5	20
52	30180523	12	103		15	5	0	0	5	20
53	30180523	13	103		15	5	0	0	5	20
54	30180523	14	103		15	0	10	0	5	20
55	30180523	15	103	161033	15	0	0	20	5	20
56	30180524	16	103		20	5	0	0	5	20
57	30180524	17	103		20	5	0	0	5	20
58	30180524	18	103		20	5	0	0	5	20
59	30180524	19	103		20	0	10	0	5	20
60	30180524	20	103	161034	20	0	0	20	5	20
61	30180531	1	104		10	5	0	0	5	5
62	30180531	2	104		10	5	0	0	5	5
63	30180531	3	104		10	5	0	0	5	5
64	30180531	4	104		10	0	10	0	5	5
65	30180531	5	104	161041	10	0	0	20	5	5
66	30180532	6	104		10	5	0	0	5	10
67	30180532	7	104		10	5	0	0	5	10
68	30180532	8	104		10	5	0	0	5	10
69	30180532	9	104		10	0	10	0	5	10
70	30180532	10	104	161042	10	0	0	20	5	10
71	30180533	11	104		15	5	0	0	5	20
72	30180533	12	104		15	5	0	0	5	20
73	30180533	13	104		15	5	0	0	5	20
74	30180533	14	104		15	0	10	0	5	20
75	30180533	15	104	161043	15	0	0	20	5	20
76	30180534	16	104		20	5	0	0	5	20
77	30180534	17	104		20	5	0	0	5	20
78	30180534	18	104		20	5	0	0	5	20
79	30180534	19	104		20	0	10	0	5	20
80	30180534	20	104	161044	20	0	0	20	5	20
81	30180541	1	105		10	5	0	0	5	5
82	30180541	2	105		10	5	0	0	5	5
83	30180541	3	105		10	5	0	0	5	5
84	30180541	4	105		10	0	10	0	5	5
85	30180541	5	105	161051	10	0	0	20	5	5
86	30180542	6	105		10	5	0	0	5	10
87	30180542	7	105		10	5	0	0	5	10
88	30180542	8	105		10	5	0	0	5	10
89	30180542	9	105		10	0	10	0	5	10
90	30180542	10	105	161052	10	0	0	20	5	10
91	30180543	11	105		15	5	0	0	5	20
92	30180543	12	105		15	5	0	0	5	20
93	30180543	13	105		15	5	0	0	5	20
94	30180543	14	105		15	0	10	0	5	20
95	30180543	15	105	161053	15	0	0	20	5	20
96	30180544	16	105		20	5	0	0	5	20
97	30180544	17	105		20	5	0	0	5	20
98	30180544	18	105		20	5	0	0	5	20
99	30180544	19	105		20	0	10	0	5	20
100	30180544	20	105	161054	20	0	0	20	5	20
