Id	SkillId	Level	BornMagic[1]	BornMagic[2]	BornMagic[3]	BornMagic[4]	SubSkillId[1]	SubSkillId[2]	SubSkillId[3]	SubSkillId[4]	SubSkillId[5]	SubSkillId[6]	SubSkillId[7]	SubSkillId[8]	SubSkillId[9]	SubSkillId[10]	SubSkillId[11]	SubSkillId[12]	SubSkillId[13]	SubSkillId[14]	SubMagicId[1]	SubMagicId[2]	SubMagicId[3]	SubMagicId[4]	SubMagicId[5]	SubMagicId[6]	SubMagicId[7]	SubMagicId[8]	SubMagicId[9]	SubMagicId[10]	SubMagicId[11]	SubMagicId[12]	SubMagicId[13]	SubMagicId[14]	SubMagicId[15]	SubMagicId[16]	SubMagicId[17]	SubMagicId[18]	SubMagicId[19]	SubMagicId[20]	SubMagicId[21]	SubMagicId[22]	SubMagicId[23]	SubMagicId[24]	SubMagicId[25]	SubMagicId[26]	SubMagicId[27]	SubMagicId[28]	SubMagicId[29]	SubMagicId[30]	Ability	ResonanceAbility	PlusAbility
1	102101	1					100232	100233	100234												1002013	1002014	1002015																												0	25	25
2	102102	1					100221	100222	100223												1002019	1002020	1002021																												0	25	25
3	102103	1					100224	100225	100226												1002016	1002017	1002018	1002197	1002198	1002199																									0	25	25
4	102104	1					100201	100202	100203	100204	100205	100206									1002001	1002002	1002003	1002004	1002005	1002006																									0	25	25
5	102105	1					100208	100209	100210	100211											1002007	1002008	1002009	1002010																											0	25	25
6	102106	1					100235	100236	100243	100228	100229										1002085	1002086	1002087	1002023	1002023																										0	25	25
7	102107	1					100248	100249	100250												1002074	1002075	1002076																												0	25	25
9	102109	1					100251														1002089	1002090																													0	25	25
10	104301	1					101406	101407	101408												1014005	1014006	1014007																												0	25	25
11	104302	1					101412	101413	101414												1014011	1014012	1014013	1014014	1014015	1014016																									0	25	25
12	104303	1					101409	101410	101411												1014008	1014009	1014010	1014019	1014020	1014021	1014022	1014023	1014024																						0	25	25
13	104304	1					101401	101402	101403	101404											1014001	1014002	1014003	1014004	1014060	1014061	1014062	1014063																							0	25	25
14	104305	1					101422	101423													1014017																														0	25	25
15	104306	1					101441	101442	101443	101444											1014025	1014133	1014134	1014135	1014136																										0	25	25
16	104307	1					101451	101452	101453												1014137	1014138	1014139																												0	25	25
17	104308	1					101456	101457													1014141	1014142																													0	25	25
18	104309	1					101460														1014177	1014176																													0	25	25
19	107201	1					100707	100708	100709												10070700	10070800	10070900																												0	25	25
20	107202	1					100713	100714	100715												10071300	10071400	10071500	10071302	10071402	10071502																									0	25	25
21	107203	1					100710	100711	100712												10071000	10071100	10071200	10071001	10071101	10071201																									0	25	25
22	107204	1					100701	100702	100703	100704											10070102	10070202	10070405	10070503	10070303	10070406	10070504																								0	25	25
23	107205	1					100706														10070601	10070602																													0	25	25
24	107206	1					100726	100727	100728	100733	100721										10072704	10073407	10073407																												0	25	25
25	107207	1					100730	100731	100732												10073001	10073101	10073201	10073202																											0	25	25
27	107209	1					100738														10073809																														0	25	25
