Id	NodeTypeName	NodeTypeIcon	NodeTypeDesc
101	Place to Sleep	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg	An excellent choice that leads to another scene.
102	Campfire	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg	An excellent choice that leads to another scene.
103	Flower and Feather	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg	An excellent choice that leads to another scene.
104	Board	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg	An excellent choice that leads to another scene.
105	On the Ship	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg	An excellent choice that leads to another scene.
107	Sailor	Assets/Product/Texture/Image/BgStory/BgStory548.jpg	An excellent choice that leads to another scene.
108	Castaway	Assets/Product/Texture/Image/BgStory/Bgstory533.jpg	An excellent choice that leads to another scene.
201	Place to Sleep	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg	An excellent choice that leads to another scene.
202	Campfire	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg	An excellent choice that leads to another scene.
203	Flower and Feather	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg	An excellent choice that leads to another scene.
204	Board	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg	An excellent choice that leads to another scene.
205	On the Ship	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg	An excellent choice that leads to another scene.
207	Sailor	Assets/Product/Texture/Image/BgStory/BgStory548.jpg	An excellent choice that leads to another scene.
208	Castaway	Assets/Product/Texture/Image/BgStory/Bgstory533.jpg	An excellent choice that leads to another scene.
210	Village	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg	An excellent choice that leads to another scene.
211	Village Entrance	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg	An excellent choice that leads to another scene.
213	The Lost One	Assets/Product/Texture/Image/BgStory/Bgstory534.jpg	An excellent choice that leads to another scene.
301	Deep in the Forest	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg	An excellent choice that leads to another scene.
302	Campfire	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg	An excellent choice that leads to another scene.
303	Flower and Feather	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg	An excellent choice that leads to another scene.
304	Board	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg	An excellent choice that leads to another scene.
305	Sailor	Assets/Product/Texture/Image/BgStory/BgStory548.jpg	An excellent choice that leads to another scene.
306	Story Time	Assets/Product/Texture/Image/BgStory/BgStory548.jpg	An excellent choice that leads to another scene.
307	Castaway	Assets/Product/Texture/Image/BgStory/Bgstory533.jpg	An excellent choice that leads to another scene.
308	Village	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg	An excellent choice that leads to another scene.
309	Village Entrance	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg	An excellent choice that leads to another scene.
310	The Lost One	Assets/Product/Texture/Image/BgStory/Bgstory534.jpg	An excellent choice that leads to another scene.
311	Woman	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg	An excellent choice that leads to another scene.
312	Blacksmith	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg	An excellent choice that leads to another scene.
313	City Gate	Assets/Product/Texture/Image/BgStory/Bgstory531.jpg	An excellent choice that leads to another scene.
314	On the Ship	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg	An excellent choice that leads to another scene.
315	Balcony	Assets/Product/Texture/Image/BgStory/Bgstory531.jpg	An excellent choice that leads to another scene.
401	Deep in the Forest	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg	An excellent choice that leads to another scene.
402	Magic	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg	An excellent choice that leads to another scene.
403	Flower and Feather	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg	An excellent choice that leads to another scene.
404	Board	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg	An excellent choice that leads to another scene.
406	Story Time	Assets/Product/Texture/Image/BgStory/BgStory548.jpg	An excellent choice that leads to another scene.
407	Castaway	Assets/Product/Texture/Image/BgStory/Bgstory533.jpg	An excellent choice that leads to another scene.
408	Village	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg	An excellent choice that leads to another scene.
410	The Lost One	Assets/Product/Texture/Image/BgStory/Bgstory534.jpg	An excellent choice that leads to another scene.
413	City Gate	Assets/Product/Texture/Image/BgStory/Bgstory531.jpg	An excellent choice that leads to another scene.
415	Balcony	Assets/Product/Texture/Image/BgStory/Bgstory531.jpg	An excellent choice that leads to another scene.
501	Deep in the Forest	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg	An excellent choice that leads to another scene.
502	Magic	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg	An excellent choice that leads to another scene.
503	Flower and Feather	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg	An excellent choice that leads to another scene.
504	Board	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg	An excellent choice that leads to another scene.
506	Story Time	Assets/Product/Texture/Image/BgStory/BgStory548.jpg	An excellent choice that leads to another scene.
507	Castaway	Assets/Product/Texture/Image/BgStory/Bgstory533.jpg	An excellent choice that leads to another scene.
508	Village	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg	An excellent choice that leads to another scene.
510	The Lost One	Assets/Product/Texture/Image/BgStory/Bgstory534.jpg	An excellent choice that leads to another scene.
513	City Gate	Assets/Product/Texture/Image/BgStory/Bgstory531.jpg	An excellent choice that leads to another scene.
515	Balcony	Assets/Product/Texture/Image/BgStory/Bgstory531.jpg	An excellent choice that leads to another scene.
