Key	Comment	Values[1]	Values[2]	Values[3]	Values[4]	Values[5]	Values[6]	Values[7]
NodeTypeName	Node Type Entrance Display Name	Interpretation	Interval Preparation	Rehearsal	Conflict	Climax		
NodeTypeIcon	Node Type Entrance Display Icon	Assets/Product/Texture/Image/UiTheatre/UiTheatreStageTypeIcon05.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreStageTypeIcon06.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreStageTypeIcon03.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreStageTypeIcon02.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreStageTypeIcon04.png		
NodeTypeDesc	Node Type Entrance Display Description	An excellent choice that leads to another scene.	The beginning of an Act. Marg will be of great use here.	Even a well-rehearsed script may face unexpected events.	A conflict is imminent. Defeat the enemies to win rewards.	The crossing point of different futures. <color=#FF3F3F>School abilities are limited</color>.		
DifficultyTitleIcon	Difficulty Title Icon	Assets/Product/Texture/Image/UiTheatre/UiTheatreIconDifficulty01.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreIconDifficulty02.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreIconDifficulty03.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreIconDifficulty04.png			
DifficultyButtonIcon	Difficulty Button Icon	Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty01.png	Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty02.png	Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty03.png	Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty04.png			
SpecialRewardIcon	Special Reward Icon (Skill, Upgrade, Decoration Points, Faction Affection) - to be configured	%s	Assets/Product/Texture/Image/IconTools/IconTheatre07.png	Assets/Product/Texture/Image/IconTools/IconTheatre04.png	Assets/Product/Texture/Image/IconTools/IconTheatre03.png			
SpecialRewardName	Special Reward Name (Skill, Upgrade, Decoration Points, Faction Affection)	%s	Script	Inspiration	Cadenza			
EventNodeIcon	Event Node Icon - Leave Empty For Now							
SkillPosDesc	Skill Number Description	Class Skill	Signal Orb	Signature Move	Core Passive			
SkillQualityIcon	Skill Quality Icon Path. Just one is enough	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffGuang1.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffGuang2.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffGuang3.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffGuang4.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffGuang5.png		
SkillLevelQualityIcon	Skill Level Quality Icon Path. Just one is enough	Assets/Product/Texture/Atlas/UiTheatre/UiTheatreBuffEquip1.png	Assets/Product/Texture/Atlas/UiTheatre/UiTheatreBuffEquip2.png	Assets/Product/Texture/Atlas/UiTheatre/UiTheatreBuffEquip3.png	Assets/Product/Texture/Atlas/UiTheatre/UiTheatreBuffEquip4.png	Assets/Product/Texture/Atlas/UiTheatre/UiTheatreBuffEquip5.png		
HelpKey	Help Key	TheTheatreFightGuide						
SpecialRewardDesc	Special Reward Description (Skill, Upgrade, Decoration Points, Faction Affection)	Select to gain unique School Skills that significantly boost your power.	Obtain this to increase the level, rating, Memory level and weapon level of all trial characters.	Enhances the bonuses in Behind the Curtain.	Increases the familiarity with Schools, unlocks more skills and provides unique buffs.			
SkillPowerIcon	Selection Screen Faction Icon	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffTypeBig6.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffTypeBig4.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffTypeBig5.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffTypeBig3.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffTypeBig7.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffTypeBig2.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffTypeBig1.png
SkillPowerTitle	Selection Screen Faction Title	Impressionism	Nationalism	Realism	Romanticism	Expressionism	Classicism	Baroque
ReopenHelpKey	Reset Attempts Help Key	TheTheatreFightGuide						
RoleDetailLevelIcon	Character Detail - Level Info Mini Icon	Assets/Product/Texture/Image/IconTools/IconTheatre07.png						
RoleDetailLevelDesc	Character Detail - Level Info Description	Script	Team Level					
RoleDetailEquipIcon	Character Detail - Equipment Info Mini Icon	Assets/Product/Texture/Image/IconTools/IconTheatre07.png						
RoleDetailEquiupDesc	Character Detail - Equipment Info Description	Script	Weapon & Memory Level					
RoleDetailSkillIcon	Character Detail - Skill Info Mini Icon	Assets/Product/Texture/Image/IconTools/IconTheatre06.png						
RoleDetailSkillDesc	Character Detail Skill Info Description	Chord	Skill Level					
UnlockOwnRole	Unlock Own Character Pop-up Window (Title, Icon)	Unlock own characters	Assets/Product/Texture/Image/IconTools/IconTheatre07.png					
UnlockFavor	Unlock Affection (Name, Icon)	Rehearsal	Assets/Product/Texture/Atlas/UiTheatre/UiTheatreMainIcon4.png					
UnlockDecoration	Unlock Decoration Modification (Name, Icon)	Behind the Curtain	Assets/Product/Texture/Atlas/UiTheatre/UiTheatreMainIcon3.png					
UnlockNewDecoration	Unlock New Decoration (Pop-up Window Title, Description)	New content unlocked in Behind the Curtain	Go to Behind the Curtain					
DifficultyButtonTextIcon	Difficulty Button Text Icon	Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty1.png	Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty2.png	Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty3.png	Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty4.png			
SpecialRewardSkillIcon	Special Reward Skill Faction Icon	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType4.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType5.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType3.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType7.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType2.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType1.png
SpecialRewardSkillName	Special Reward Skill Faction Name	Impressionism	Nationalism	Realism	Romanticism	Expressionism	Classicism	Baroque
SelectSkillDetail	Select Skill Pop-up Window Detail (Icon, Title, Content)	%s	School Description	%s				
LevelUpDetail	Upgrade Pop-up Window Detail (Icon, Title, Content)	Assets/Product/Texture/Image/IconTools/IconTheatre07.png	Script	Increases the level, rating, Memory level and weapon level of all trial characters.				
SkillPosIcon	Skill Number Icon	Assets/Product/Texture/Image/UiTheatre/UiTheatreKuangIconType1.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreKuangIconType2.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreKuangIconType3.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreKuangIconType4.png			
