Id	Icon[1]	Icon[2]	Icon[3]	Icon[4]	LinkEffect[1]	LinkEffect[2]	LinkEffect[3]	LinkEffect[4]	ReleaseEffect[1]	ReleaseEffect[2]	ReleaseEffect[3]	ReleaseEffect[4]	ExEffect[1]	ExEffect[2]	ExEffect[3]	ExEffect[4]
101401	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Bianka11.png				FxUiBallLinkRed				FxUi009				FxUijixianshanbi			
101402	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Bianka21.png				FxUiBallLinkBlue				FxUi009				FxUijixianshanbi			
101403	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Bianka31.png				FxUiBallLinkYellow				FxUi009				FxUijixianshanbi			
110201	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Kuluomu11.png				FxUiBallLinkRed				FxUi009				FxUijixianshanbi			
110202	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Kuluomu21.png				FxUiBallLinkBlue				FxUi009				FxUijixianshanbi			
110203	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Kuluomu31.png				FxUiBallLinkYellow				FxUi009				FxUijixianshanbi			
110204	Assets/Product/Texture/Image/UiFight/FightSkillIconSneak.png				FxUiBallLinkBlue				FxUi009				FxUijixianshanbi			
110301	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Weila11.png				FxUiBallLinkRed				FxUi009				FxUijixianshanbi			
110302	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Weila21.png				FxUiBallLinkBlue				FxUi009				FxUijixianshanbi			
110303	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Weila31.png				FxUiBallLinkYellow				FxUi009				FxUijixianshanbi			
110601	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Qu11.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Qufly11.png			FxUiBallLinkRed				FxUi009	FxUi009			FxUijixianshanbi	FxUijixianshanbi		
110602	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Qu21.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Qufly21.png			FxUiBallLinkBlue				FxUi009	FxUi009			FxUijixianshanbi	FxUijixianshanbi		
110603	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Qu31.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Qufly31.png			FxUiBallLinkYellow				FxUi009	FxUi009			FxUijixianshanbi	FxUijixianshanbi		
110604	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Qufly11.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Qufly11.png							FxUi009	FxUi009			FxUijixianshanbi	FxUijixianshanbi		
110605	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Qufly21.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Qufly21.png							FxUi009	FxUi009			FxUijixianshanbi	FxUijixianshanbi		
110606	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Qufly31.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Qufly31.png							FxUi009	FxUi009			FxUijixianshanbi	FxUijixianshanbi		
