Id	Icon[1]	LinkEffect[1]	ReleaseEffect[1]	ExEffect[1]
997161	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
997162	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
997163	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
997164	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Shenwei11.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
997165	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Shenwei21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
997166	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Shenwei31.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
906461	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
906463	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
906464	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
906561	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
906563	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
906564	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
