Id	Icon[1]	Icon[2]	Icon[3]	Icon[4]	LinkEffect[1]	LinkEffect[2]	LinkEffect[3]	LinkEffect[4]	ReleaseEffect[1]	ReleaseEffect[2]	ReleaseEffect[3]	ReleaseEffect[4]	ExEffect[1]	ExEffect[2]	ExEffect[3]	ExEffect[4]
100401	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Bianka11.png				FxUiBallLinkRed				FxUi009				FxUijixianshanbi			
100402	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Bianka21.png				FxUiBallLinkBlue				FxUi009				FxUijixianshanbi			
100403	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Bianka31.png				FxUiBallLinkYellow				FxUi009				FxUijixianshanbi			
101601	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Shenwei11.png				FxUiBallLinkRed				FxUi009				FxUijixianshanbi			
101602	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Shenwei21.png				FxUiBallLinkBlue				FxUi009				FxUijixianshanbi			
101603	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Shenwei31.png				FxUiBallLinkYellow				FxUi009				FxUijixianshanbi			
102301	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Lifu11.png				FxUiBallLinkRed				FxUi009				FxUijixianshanbi			
102302	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Lifu21.png				FxUiBallLinkBlue				FxUi009				FxUijixianshanbi			
102303	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Lifu31.png				FxUiBallLinkYellow				FxUi009				FxUijixianshanbi			
121701	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Bianka11.png				FxUiBallLinkRed											
121702	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Bianka21.png				FxUiBallLinkBlue											
121703	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Bianka31.png				FxUiBallLinkYellow											
