Id	Icon[1]	Icon[2]	Icon[3]	Icon[4]	LinkEffect[1]	LinkEffect[2]	LinkEffect[3]	LinkEffect[4]	ReleaseEffect[1]	ReleaseEffect[2]	ReleaseEffect[3]	ReleaseEffect[4]	ExEffect[1]	ExEffect[2]	ExEffect[3]	ExEffect[4]
100601	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Shenwei11.png				FxUiBallLinkRed				FxUi009				FxUijixianshanbi			
100602	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Shenwei21.png				FxUiBallLinkBlue				FxUi009				FxUijixianshanbi			
100603	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Shenwei31.png				FxUiBallLinkYellow				FxUi009				FxUijixianshanbi			
101101	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Liang11.png				FxUiBallLinkRed				FxUi009				FxUijixianshanbi			
101102	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Liang21.png				FxUiBallLinkBlue				FxUi009				FxUijixianshanbi			
101103	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Liang31.png				FxUiBallLinkYellow				FxUi009				FxUijixianshanbi			
100301	Assets/Product/Texture/Image/UiFight/FightSkillIconR1Lifu11.png				FxUiBallLinkRed				FxUi009				FxUijixianshanbi			
100302	Assets/Product/Texture/Image/UiFight/FightSkillIconR1Lifu21.png				FxUiBallLinkBlue				FxUi009				FxUijixianshanbi			
100303	Assets/Product/Texture/Image/UiFight/FightSkillIconR1Lifu31.png				FxUiBallLinkYellow				FxUi009				FxUijixianshanbi			
102601	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral11.png				FxUiBallLinkRed				FxUi009				FxUijixianshanbi			
102602	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral21.png				FxUiBallLinkBlue				FxUi009				FxUijixianshanbi			
102603	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral31.png				FxUiBallLinkYellow				FxUi009				FxUijixianshanbi			
101201	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Luxiya11.png				FxUiBallLinkRed				FxUi009				FxUijixianshanbi			
101202	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Luxiya21.png				FxUiBallLinkBlue				FxUi009				FxUijixianshanbi			
101203	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Luxiya31.png				FxUiBallLinkYellow				FxUi009				FxUijixianshanbi			
