Id	Icon[1]	Icon[2]	Icon[3]	Icon[4]	Icon[5]	Icon[6]	LinkEffect[1]	LinkEffect[2]	LinkEffect[3]	LinkEffect[4]	LinkEffect[5]	LinkEffect[6]	ReleaseEffect[1]	ReleaseEffect[2]	ReleaseEffect[3]	ReleaseEffect[4]	ReleaseEffect[5]	ReleaseEffect[6]	ExEffect[1]	ExEffect[2]	ExEffect[3]	ExEffect[4]	ExEffect[5]	ExEffect[6]	ClickEffect[1]	ClickEffect[2]	ClickEffect[3]	ClickEffect[4]	ClickEffect[5]	ClickEffect[6]
470501	Assets/Product/Texture/Image/UiFight/FightSkillIconR1Lifu11.png						FxUiBallLinkRed						FxUi009						FxUijixianshanbi											
470502	Assets/Product/Texture/Image/UiFight/FightSkillIconR1Lifu21.png						FxUiBallLinkBlue						FxUi009						FxUijixianshanbi											
470503	Assets/Product/Texture/Image/UiFight/FightSkillIconR1Lifu31.png						FxUiBallLinkYellow						FxUi009						FxUijixianshanbi											
470601	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral11.png						FxUiBallLinkRed						FxUi009						FxUijixianshanbi											
470602	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral21.png						FxUiBallLinkBlue						FxUi009						FxUijixianshanbi											
470603	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral31.png						FxUiBallLinkYellow						FxUi009						FxUijixianshanbi											
470701	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral11.png						FxUiBallLinkRed						FxUi009						FxUijixianshanbi											
470702	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral21.png						FxUiBallLinkBlue						FxUi009						FxUijixianshanbi											
470703	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral31.png						FxUiBallLinkYellow						FxUi009						FxUijixianshanbi											
105401	Assets/Product/Texture/Image/UiFight/FightSkillIconR4Yongyechao11.png						FxUiBallLinkRed						FxUi009						FxUijixianshanbi											
105402	Assets/Product/Texture/Image/UiFight/FightSkillIconR4Yongyechao21.png						FxUiBallLinkBlue						FxUi009						FxUijixianshanbi											
105403	Assets/Product/Texture/Image/UiFight/FightSkillIconR4Yongyechao31.png						FxUiBallLinkYellow						FxUi009						FxUijixianshanbi											
