Id	Icon[1]	Icon[2]	Icon[3]	Icon[4]	LinkEffect[1]	LinkEffect[2]	LinkEffect[3]	LinkEffect[4]	ReleaseEffect[1]	ReleaseEffect[2]	ReleaseEffect[3]	ReleaseEffect[4]	ExEffect[1]	ExEffect[2]	ExEffect[3]	ExEffect[4]
994201	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral11.png				FxUiBallLinkRed				FxUi009				FxUijixianshanbi			
994202	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral21.png				FxUiBallLinkBlue				FxUi009				FxUijixianshanbi			
994203	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral31.png				FxUiBallLinkYellow				FxUi009				FxUijixianshanbi			
994501	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral11.png				FxUiBallLinkRed				FxUi009				FxUijixianshanbi			
994502	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral21.png				FxUiBallLinkBlue				FxUi009				FxUijixianshanbi			
994503	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral31.png				FxUiBallLinkYellow				FxUi009				FxUijixianshanbi			
904551	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral11.png				FxUiBallLinkRed				FxUi009				FxUijixianshanbi			
904552	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral21.png				FxUiBallLinkBlue				FxUi009				FxUijixianshanbi			
904553	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral31.png				FxUiBallLinkYellow				FxUi009				FxUijixianshanbi			
961801	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral11.png				FxUiBallLinkRed				FxUi009				FxUijixianshanbi			
961802	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral21.png				FxUiBallLinkBlue				FxUi009				FxUijixianshanbi			
961803	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral31.png				FxUiBallLinkYellow				FxUi009				FxUijixianshanbi			
962301	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral11.png				FxUiBallLinkRed				FxUi009				FxUijixianshanbi			
962302	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral21.png				FxUiBallLinkBlue				FxUi009				FxUijixianshanbi			
962303	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral31.png				FxUiBallLinkYellow				FxUi009				FxUijixianshanbi			
904601	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral11.png				FxUiBallLinkRed				FxUi009				FxUijixianshanbi			
904602	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral21.png				FxUiBallLinkBlue				FxUi009				FxUijixianshanbi			
904603	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral31.png				FxUiBallLinkYellow				FxUi009				FxUijixianshanbi			
