Id	ChapterId	Title	Text	UnlockNodeId
1	1	Where Ravens Go	Babylonia decided to dispatch several squads in the unknown regions of West Africa, including even elite squads like Gray Raven... (Requirement: 5 characters)	0
2	1	Complete Search	Liv has temporarily joined the mission to find an important tactical device. Beside Liv is the lucky survivor of the Goldfinch squad, Browning...	19
3	1	Return	A day ago, Browning, the leader of the Goldfinch squad, decided to look for more info about the Golden Vortex with the Goldfinch members...	5
4	1	Another Return	Within the Golden Vortex, Lee decided to return and find Liv who he has lost contact with...	13
5	2	Not Forsaken	Watanabe takes the Forsaken to the Golden Vortex. He plans to save his trapped comrades... (Requirement: 6 characters)	0
6	2	Lone Arrow	Bianca sneaked into the Golden Vortex, but she was met with the resistance of its guardians. She is all alone and without any help...	54
7	2	Endurance Game	Kamui has been following the Ascendant Roland and entered the Golden Vortex. Before so, they had been battling for several hundred hours straight...	66
8	2	Temper	The fight between Watanabe and Bianca comes to an end, but the rescued Forsaken seem to be in a strange condition...	65
9	3	Powerful Reinforcement	After nearly 4 hours of communication block, HQ sent Karenina to clear out the heavy fog in the Golden Vortex... (This chapter requires 7 characters.)	0
10	3	Pride	Roland has experienced the power of the Golden Antibody firsthand, leaving him with only two options: to destroy it or to run…	116
11	3	Unknown	Nanami has a very unique action pattern, she flitted among the well-built defenses of the Golden Vortex…	119
12	3	Wandering	The Corrupted had the upper hand with their numbers and had wanted to exhaust Kamui by taking turns attacking, but it turned into a suffering for the Corrupted instead…	114
13	4	The Truth	After collecting information from different sources, the secret of the Golden Queen and Golden Antibody was uncovered. (This chapter requires 9 characters.)	0
14	4	A Two-sided Problem	No matter when, the Ascendants and Punishing are problems Kamui must face.	167
15	4	Overall	After communication was restored, Babylonia soldiers finally had a chance to request backup from HQ..	157
16	4	The Fall of the Golden	At the peak of the Golden Vortex, Babylonia soldiers confronted the Golden Queen...	165
