Id	IsMask	MaskTargetWidget	ClickKey	Type	MaskTargetUi	OffsetY	NeedSendCommonClick	Icon	Name	DescriptionType	Text	Duration
101	0			2				Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Lucia	1	Let us move forward, Commandant.	
102	0	ButtonAttack	1	2	1			Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Lucia	1	Hit enemies continuously with <color=#ffda58>Basic Attack</color> to gain <color=#ffda58>[Skill Orbs]</color>.	5
103	1	PanelBallBox/FirstBall	1	2	1			Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Lucia	1	Tap <color=#ff5656><color=#ffda58>[Skill Orbs]</color></color> to trigger the Exclusive Skill.	
12001	0		27	2	1			Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Guide AI	1	Identity authentication passed... Environment parameters setup complete... Battle data loaded... Guide tutorial activated.	
12002	0		27	2	1			Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Guide AI	1	Good afternoon. Welcome to the simulated training program. Please follow the guide and complete the training course.	
12003	0		27	2	1			Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Guide AI	1	Please note that the Matrix feature is not loaded in the data space due to poor compatibility.	
12004	0		27	2	1			Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Guide AI	1	In this space, <color=#ffda58>[Dashing]</color> does not consume Energy. Please use this to your advantage.	
12005	0		27	2	1			Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Guide AI	1	The first part of the tutorial is over. Please tap the direction key to move on and complete the remaining course.	
12010	1	ButtonJump	3	2	1		1	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Guide AI	1	Now let's move on to the second part of the tutorial. The <color=#ffda58>[Leap]</color> feature is loaded. Please tap the <color=#ffda58>[Leap]</color> button to try it out.	
12011	0		27	2	1			Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Guide AI	1	Test complete. No errors found.	
