Id	Type	Name	SortOrder	PlayAlone
100001	2	FxShoujiPingmu03	2	1
100002	1	FxCanxuePingmu	2	1
100003	1	FxPingmuFuhuo	2	1
100004	1	FxPingmuDeath	2	1
100005	1	FxTimeOutPingmu	2	1
100010	1	FxHeipingpingmu	2	1
100011	1	FxHeipingpingmuQu	2	1
100201	1	FxR1LuxiyaPingmu	2	0
100501	1	FxR2YongyechaoAttack51Pingmu	2	0
100701	1	FxR2KalieninaAttack41Pingmu	2	0
100702	1	FxR2KalieninaRMSpearfallPingmu	2	0
100801	1	FxR2DubianPingmu	2	0
101201	1	FxR2LuxiyaAttack51pingmu	2	0
101301	1	FxHeimuPingmu	2	0
101701	1	FxR3KalieninaExPingmu	2	0
100601	1	FxHeimuPingmu	2	0
101801	1	FxR3DubianPingmu	2	0
101401	1	FxR3BiankaPingmu	2	0
101402	1	FxR3BiankaRMPingmu1	2	0
101403	1	FxR3BiankaRMPingmu2	2	0
103201	1	FxR4LuxiyaPingmu	2	0
110201	1	FxR2KuluomuPingmu	2	0
110503	1	FxR3LuosaitaAtk51Pingmu	2	0
110504	1	FxR3LuosaitaAtk40Pingmu	2	0
110701	1	FxR2ChangyuAtk51Pingmu	2	0
110801	1	FxR3LunaAtk40Pingmu	2	0
102201	1	FxR3LuxiyaPingmu	2	0
120101	1	FxR3TwobBoomPingmu	2	0
120301	1	FxR3NinesAtk51Pingmu	2	0
120302	1	FxR3NinesAtk51PingmuEnd	2	0
110901	1	FxR2WanshiAtk51Pingmu	2	0
110902	1	FxR2WanshiZhunxing	2	0
200001	1	FxHeimuPingmu	2	1
200002	1	FxDianyingPingmu00	2	1
200003	1	FxHeimuPingmu	2	0
200004	1	FxHeimuPingmu02	2	0
200005	1	FxPingmuSneak	2	0
200006	1	FxBaipingpingmu	2	0
110501	1	FxBingDuQuYu	2	0
110502	1	FxDubianFeijiBornPingmu	2	0
120001	1	FxQianxingPingmu	2	0
120002	1	FxQianxingPingmu	2	0
120003	1	FxQianxingBeihouPingmu	2	0
120004	1	FxQianxingShanshuoPingmu	2	0
120005	1	FxMb1MotorMd000002LosePingmu	2	0
120006	1	FxMb1MotorMd000002WinPingmu	2	0
120007	1	FxMt1jiannuAttackPingmu	2	0
120008	1	FxMe1DiaorenyixingAtk12Pingmu	2	0
120009	1	FxMe1DiaorenyixingAtk15MarkPingmu	2	0
120010	1	FxR3AtwoAtk51Pingmu	2	0
120011	1	FxMb1XigeluenP2Atk42Pingmu	2	0
120012	1	FxR3AtwoAtk51PingmuHei	2	0
200007	1	FxPingmuXuehua	2	0
200008	1	FxZhandouStarPingmu	2	0
200009	1	FxZhandouWinPingmu	2	0
200010	1	FxZhandouLosePingmu	2	0
200011	1	FxUiNier01	2	0
200012	1	FxScene01801Pingmu	2	1
200014	1	FxScene01801Pingmu02	2	1
843000	1	FxMb1SirenPingmu	2	0
843100	1	FxMb1Siren2Pingmu	2	0
200013	1	FxScene01801PingmuXue	2	0
800101	1	FxMb1Bengyueht01Atk295Pingmu	2	0
