Id	Type	Title	Desc	Time	PrefabPath
1001	8	Tips	The door is open	5	
1002	2	Tips	门关上了	6	
12020	2		Tap the <color=#ffda58>[Attack]</color> button to attack the <color=#ffda58>[Instant Trigger]</color> and open the gate.		
12021	1		Keep moving	4	
12032	2		Adjust your vision and select <color=#ffda58>[Anchor Ports]</color> on the left ({0}/3)		
12033	2		Adjust your vision and select <color=#ffda58>[Anchor Ports]</color> on the right ({0}/3)		
12034	2		Adjust your vision and select <color=#ffda58>[Anchor Ports]</color> in the middle ({0}/3)		
12035	2		Adjust your vision and select <color=#ffda58>[Anchor Ports]</color> in the middle ({0}/3) (<color=#33CCFF>Completed</color>)		
12040	2		Tap the <color=#ffda58>[Attack]</color> button to hit the <color=#ffda58>[Instant Trigger]</color>.		
12041	2		Keep moving to complete the training.		
12060	2		Hack the head or fore limbs of the <color=#ffda58>[Data]</color>.		
12070	2		Launch 6 Basic Attacks ({0}/6)		
12071	2		Launch 6 Basic Attacks ({0}/6) (<color=#33CCFF>Completed</color>)		
12072	2		Perform 3 pings ({0}/3)		
12073	2		Perform 3 pings ({0}/3) (<color=#33CCFF>Completed</color>)		
12074	2		Perform a manual ping to make the orbs on both sides collide and achieve one <color=#ffda58>[Auto Ping]</color> ({0}/1)		
12075	2		<size=26>Perform a manual ping to make the orbs on both sides collide and achieve one <color=#ffda58>[Auto Ping]</color> ({0}/1) (<color=#33CCFF>Completed</color>)</size>		
12080	2		<size=26>Deal enough damage before the countdown of <color=#ffda58>[Hunt]</color> ends to make the <color=#ffda58>[Data Piercing Rate]</color> reach 100</size>.		
13000	1		Target port captured. Deciphering is about to start.	1	
13001	1		{0}		
13002	1		Due to interference, Spear failed to lock Grimhorn.	3	
900200	1	Tips	Type 1\nBanner Tip {0}	0	
900201	2	Tips	Type 2\nTop Left Corner {0}	0	
900202	8	Tips	Type 8\nMiddle Left Corner {0}	0	
900203	17	Tips	Type 17\nMiddle Left Corner {0}	0	
8001001	2		Enemy's <color=#ffda58>[head]</color> hacked successfully!	2	
8001003	2		Enemy's <color=#ffda58>[left arm]</color> hacked successfully!	2	
8001004	2		Enemy's <color=#ffda58>[right arm]</color> hacked successfully!	2	
8001	1	Tips	<color=#ffda58>[Spear of Damocles]</color> is communicating: 1...2...	2	
800101	1	Tips	<color=#ffda58>[Spear of Damocles]</color> connected...	1	
