Id	Type	IsInit	GroupId	Quality	Name	ImgSrc	LockDesc	ConvertItemId	ConvertItemCount	Description	WorldDesc	Effect	Priority	LimitType	TimeId	ShowTimeStr	Duration	IsRepetition
9000001	1	1		4	Gray Raven	Assets/Product/Texture/Image/RolePlayerSp/RolePlayer01.png	Default Portrait	1	10000	Player Portrait	One of the default portraits.		1	0				
9000002	1	1		4	Repairer	Assets/Product/Texture/Image/RolePlayerSp/RolePlayer02.png	Default Portrait	1	10000	Player Portrait	One of the default portraits.		2	0				
9000003	1	1		4	Tag	Assets/Product/Texture/Image/RolePlayerSp/RolePlayer03.png	Default Portrait	1	10000	Player Portrait	One of the default portraits.		3	0				
9010101	1			4	Portrait - Lotus	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadluxiya5.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		4	0				
9010102	1			4	Portrait - Dawn	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadluxiya5S.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		5	0				
9010103	1			4	Portrait - Crimson Abyss	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadluxiyaaerfa5SS.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		6	0				
9010104	1			4	Portrait - Plume	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadR4Luxiya5.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		7	0				
9010201	1			4	Portrait - Eclipse	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadLifu5.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		8	0				
9010202	1			4	Portrait - Lux	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadLifu5S.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		9	0				
9010203	1			4	Portrait - Luminance	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadLifu5SS.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		10	0				
9010301	1			4	Portrait - Palefire	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadLi5.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		11	0				
9010302	1			4	Portrait - Entropy	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadLi5SS.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		12	0				
9010401	1			4	Portrait - Storm	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadYongyechao5.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		13	0				
9010402	1			4	Portrait - Pulse	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadYongyechao5SS.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		14	0				
9010501	1			4	Portrait - Blast	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadKalienina5.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		15	0				
9010502	1			4	Portrait - Ember	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadKalienina5SS.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		16	0				
9010601	1			4	Portrait - Nightblade	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadDubian5.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		17	0				
9010602	1			4	Portrait - Astral	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadDubian5SS.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		18	0				
9010701	1			4	Portrait - Zero	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadAolisuo5.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		19	0				
9010801	1			4	Portrait - Bastion	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadShenwei5.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		20	0				
9010802	1			4	Portrait - Tenebrion	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadShenwei5SS.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		21	0				
9010901	1			4	Portrait - Brilliance	Assets/Product/Texture/Image/RolePlayerSp/RoleHeadAila5.png	Available after Ultima Awakening the Construct	1	10000	Player Portrait	The final developed form of Ultima Awakened Constructs after countless battles.		22	0				
