Id	PreStageId	Name	Order	Bg	TestRobot[0]	TestRobot[1]	TestRobot[2]	FarmReward	MaxStar	BuffId[1]	BuffId[2]	BuffId[3]	StarDesc[0]	StarDesc[1]	StarDesc[2]	StarDesc[3]
30161501		Musou.01	text1	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossBg01.png	100000	100001	100002	100101070	3				Defeat 20 enemies to clear the stage	Defeat 40 enemies to earn 1★	Defeat 70 enemies to earn 2★	Defeat 90 enemies to earn 3★
30161502	30161501	Musou.02	text2	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossBg02.png	100003	100004	100005	100101070	3	760451			Defeat 20 enemies to clear the stage	Defeat 40 enemies to earn 1★	Defeat 70 enemies to earn 2★	Defeat 90 enemies to earn 3★
30161503	30161502	Musou.03	text3	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossBg03.png	100006	100007	100008	100101070	3	760221			Defeat 30 enemies to clear the stage	Defeat 50 enemies to earn 1★	Defeat 80 enemies to earn 2★	Defeat 110 enemies to earn 3★
30161504	30161503	Musou.04	text4	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossBg04.png	100009	100010	100011	100101070	3	760282	760252		Defeat 30 enemies to clear the stage	Defeat 50 enemies to earn 1★	Defeat 80 enemies to earn 2★	Defeat 110 enemies to earn 3★
30161505	30161504	Musou.05	text5	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossBg05.png	100012	100013	100014	100101070	3	760043	760392		Defeat 30 enemies to clear the stage	Defeat 50 enemies to earn 1★	Defeat 80 enemies to earn 2★	Defeat 120 enemies to earn 3★
30161506	30161505	Musou.06	text6	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossBg06.png	100015	100016	100017	100101070	3	760003	760213		Defeat 30 enemies to clear the stage	Defeat 50 enemies to earn 1★	Defeat 80 enemies to earn 2★	Defeat 120 enemies to earn 3★
30161507	30161506	Musou.07	text7	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossBg07.png	100018	100019	100020	100101070	3	760013	760453		Defeat 30 enemies to clear the stage	Defeat 50 enemies to earn 1★	Defeat 80 enemies to earn 2★	Defeat 120 enemies to earn 3★
30161508	30161507	Musou.08	text8	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossBg08.png	100021	100022	100023	100101070	3	760033	760253	760396	Defeat 20 enemies to clear the stage	Defeat 40 enemies to earn 1★	Defeat 60 enemies to earn 2★	Defeat 90 enemies to earn 3★
30161509	30161508	Musou.09	text9	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossBg09.png	100024	100025	100026	100101070	3	760023	772593		Defeat 30 enemies to clear the stage	Defeat 50 enemies to earn 1★	Defeat 80 enemies to earn 2★	Defeat 120 enemies to earn 3★
30161510	30161509	Musou.10	text10	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossBg10.png	100027	100028	100029	100101070	3	772583	760303		Defeat 30 enemies to clear the stage	Defeat 50 enemies to earn 1★	Defeat 80 enemies to earn 2★	Defeat 120 enemies to earn 3★
30161511	30161510	Musou.11	text11	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossBg11.png	100030	100031	100032	100101070	3	760383	760353		Defeat 20 enemies to clear the stage	Defeat 40 enemies to earn 1★	Defeat 60 enemies to earn 2★	Defeat 90 enemies to earn 3★
30161512	30161511	Musou.12	text12	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossBg12.png	100033	100034	100035	100101070	3	760271	760213		Defeat 30 enemies to clear the stage	Defeat 50 enemies to earn 1★	Defeat 80 enemies to earn 2★	Defeat 120 enemies to earn 3★
30161513	30161512	End.01	text13	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossBg13.png	100036	100037	100038	100101070	3	760393	760231	760453	Defeat 30 enemies to clear the stage	Defeat 50 enemies to earn 1★	Defeat 80 enemies to earn 2★	Defeat 120 enemies to earn 3★
30161514	30161513	End.02	text14	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossBg14.png	100039	100040	100041	100101070	3	760396	760053	760283	Defeat 30 enemies to clear the stage	Defeat 50 enemies to earn 1★	Defeat 80 enemies to earn 2★	Defeat 120 enemies to earn 3★
30161515	30161514	End.03	text15	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossBg15.png	100042	100043	100044	100101070	3	760303	760043	760253	Defeat 30 enemies to clear the stage	Defeat 50 enemies to earn 1★	Defeat 80 enemies to earn 2★	Defeat 120 enemies to earn 3★
30161516	30161515	End.04	text16	Assets/Product/Texture/Image/UiKillZone/UiKillZoneBossBg16.png	100045	100046	100047	100101070	3	760213	760271	760383	Defeat 30 enemies to clear the stage	Defeat 50 enemies to earn 1★	Defeat 80 enemies to earn 2★	Defeat 120 enemies to earn 3★
