Id	ActivityId	Star	RewardId
1	1	0	408029
2	1	1	408030
3	1	2	408031
4	1	3	408032
5	1	4	408033
6	1	5	408034
7	1	6	408035
8	1	7	408036
9	1	8	408037
10	1	9	408038
11	1	10	408039
12	1	11	408040
13	1	12	408041
14	1	13	408042
15	1	14	408043
16	1	15	408044
17	1	16	408045
18	1	17	408046
19	1	18	408047
20	1	19	408048
21	1	20	408049
22	1	21	408050
23	1	22	408051
24	1	23	408052
25	1	24	408053
26	1	25	408054
27	1	26	408055
28	1	27	408056
29	1	28	408057
30	1	29	408058
31	1	30	408059
32	1	31	408060
33	1	32	408061
34	1	33	408062
35	1	34	408063
36	1	35	408064
37	1	36	408065
38	1	37	408066
39	1	38	408067
40	1	39	408068
41	1	40	408069
42	1	41	408070
43	1	42	408071
44	1	43	408072
45	1	44	408073
46	1	45	408074
47	1	46	408075
48	1	47	408076
49	1	48	408077
