Key	Comment	Values[1]	Values[2]	Values[3]	Values[4]	Values[5]	Values[6]	Values[7]
NodeTypeName	Node Type Entry Display Name	Unexpected Encounter	Shark-speare Sale	Emergency Crisis	Battle Engagement	Emergency Crisis		
NodeTypeIcon	Node Type Entry Display Icon	Assets/Product/Texture/Image/UiTheatre/UiTheatreStageTypeIcon05.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreStageTypeIcon06.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreStageTypeIcon03.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreStageTypeIcon02.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreStageTypeIcon04.png		
NodeTypeDesc	Node Type Entry Display Description	Weigh up.	Shark-speare seems to love Tinbread Cookies.	Emergency arose. Prepare to engage.	Defeat the enemies for loot.	Future Intersection		
NodeTypeSmallIcon	Node Type Entry Display Icon	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent01.png	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent02.png	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent03.png	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent05.png	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	
DifficultyTitleIcon	Difficulty Title Icon	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaTheatreIconDifficulty01.png	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaTheatreIconDifficulty02.png	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaTheatreIconDifficulty03.png				
DifficultyButtonIcon	Difficulty Button Icon	Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty01.png	Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty02.png	Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty03.png	Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty04.png			
SpecialRewardName	Special Reward Name (Skill, Level Up, Decoration Point, and Force Affection)	%s	Script	Inspiration	Cadenza			
SpecialRewardIcon	Special Reward Icon (Skill, Level Up, Decoration Point, and Force Affection) - Pending	%s	Assets/Product/Texture/Image/IconTools/IconTheatre07.png	Assets/Product/Texture/Image/IconTools/IconTheatre04.png	Assets/Product/Texture/Image/IconTools/IconTheatre03.png			
HelpKey	Help Key	BiancaTheatre						
RoleDetailLevelIcon	Character Details Level Information Icon	Assets/Product/Texture/Image/IconTools/IconTheatre07.png						
RoleDetailLevelDesc	Character Details Level Information Description	Script	All Character Level					
RoleDetailEquipIcon	Character Details Equipment Information Icon	Assets/Product/Texture/Image/IconTools/IconTheatre07.png						
RoleDetailEquiupDesc	Character Details Equipment Information Description	Script	Weapon & Memory Level					
RoleDetailSkillIcon	Character Details Skill Information Icon	Assets/Product/Texture/Image/IconTools/IconTheatre06.png						
RoleDetailSkillDesc	Character Details Skill Information Description	Chord	Skill Level					
DifficultyButtonTextIcon	Difficulty Button Text Icon	Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty1.png	Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty2.png	Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty3.png	Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty4.png			
FirstStoryId	First Played Cutscene ID	RG00601BA						
BtnSelectName	Button's Text	Select						
BtnRewardName	Button's Text	Claim						
PercentTitle		Progress: %d%%						
BtnFettersAsset	Resource paths for more bond buttons	Assets/Product/Ui/ComponentPrefab/UiBiancaTheatre/BtnFetters.prefab						
GridItemAsset	Resource paths of item grids	Assets/Product/Ui/ComponentPrefab/UiBiancaTheatre/GridBiancaPopUp.prefab						
GridFettersAsset	Resource paths of bond grids	Assets/Product/Ui/ComponentPrefab/UiBiancaTheatre/GridFettersNode.prefab						
StrengthenCoinId	Enhanced Token ID	96118						
SettleDataName	Data Content Name of the Total Settlement Screen	Nodes Cleared	Battle Nodes	Total Stars	Artifacts Collected	Chapters Completed		
LevelItemId	Level Item ID	96117						
PropUnlockPercent	Codex Unlock Progress	\n%d<color=#C4C4C4>/%d</color>						
