Id	NodeTypeName	NodeTypeIcon	NodeTypeDesc	SmallIcon	NodeTypeEffectUrl
101	Abandoned Yard	Assets/Product/Texture/Image/BgStory/Bgstory388.png	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
102	Cradle's Gift	Assets/Product/Texture/Image/BgStory/Bgstory373.png	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
103	Everlasting Song	Assets/Product/Texture/Image/BgStory/Bgstory359.png	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
104	Happy times	Assets/Product/Texture/Image/BgStory/Bgstory423.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
105	Missionary	Assets/Product/Texture/Image/BgStory/Bgstory364.png	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
106	Wishing Well	Assets/Product/Texture/Image/BgStory/Bgstory374.png	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
107	Homebound traveler	Assets/Product/Texture/Image/BgStory/Bgstory377.png	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
108	Market	Assets/Product/Texture/Image/BgStory/BgStory554.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
109	Traveling Troupe	Assets/Product/Texture/Image/BgStory/Bgstory368.png	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
110	The last warrior	Assets/Product/Texture/Image/BgStory/Bgstory360.png	Something dangerous is coming. Keep your guard up.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent03.png	
111	Gospel of Death	Assets/Product/Texture/Image/BgStory/Bgstory358.png	Something dangerous is coming. Keep your guard up.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent03.png	
