Id	NodeTypeName	NodeTypeIcon	NodeTypeDesc	SmallIcon	NodeTypeEffectUrl
11	Shark-speare Sale	Assets/Product/Texture/Image/BgStory/Bgstory388.png	Shark-speare is willing to trade any treasure for Tinbread Cookies.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	
12	Shark-speare Sale	Assets/Product/Texture/Image/BgStory/Bgstory388.png	Shark-speare is willing to trade any treasure for Tinbread Cookies.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	
13	Shark-speare Sale	Assets/Product/Texture/Image/BgStory/Bgstory388.png	Shark-speare is willing to trade any treasure for Tinbread Cookies.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	
14	Shark-speare Sale	Assets/Product/Texture/Image/BgStory/Bgstory388.png	Shark-speare is willing to trade any treasure for Tinbread Cookies.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	
21	Shark-speare Sale	Assets/Product/Texture/Image/BgStory/Bgstory361.png	Shark-speare is willing to trade any treasure for Tinbread Cookies.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	
22	Shark-speare Sale	Assets/Product/Texture/Image/BgStory/Bgstory361.png	Shark-speare is willing to trade any treasure for Tinbread Cookies.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	
23	Shark-speare Sale	Assets/Product/Texture/Image/BgStory/Bgstory361.png	Shark-speare is willing to trade any treasure for Tinbread Cookies.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	
24	Shark-speare Sale	Assets/Product/Texture/Image/BgStory/Bgstory361.png	Shark-speare is willing to trade any treasure for Tinbread Cookies.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	
31	Shark-speare Sale	Assets/Product/Texture/Image/BgStory/Bgstory411.jpg	Shark-speare is willing to trade any treasure for Tinbread Cookies.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	
32	Shark-speare Sale	Assets/Product/Texture/Image/BgStory/Bgstory411.jpg	Shark-speare is willing to trade any treasure for Tinbread Cookies.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	
