Id	BgIcon	SpineBg	SkipId	SkipURL	Type
1	Assets/Product/Texture/Image/UiAutoWindow/UiAutoWindowBg35.png				2
2	Assets/Product/Texture/Image/UiAutoWindow/UiAutoWindowBg23.png				2
3	Assets/Product/Texture/Image/UiAutoWindow/UiAutoWindowBgBack.png		11082		1
4	Assets/Product/Texture/Image/UiAutoWindow/UiAutoWindowBgBack.png		11087		1
5		Assets/Product/Ui/Spine/Luxiya-Skin-Qingrenjie/SpineLuxiyaSkin_AutoWindow.prefab	7206		3
6		Assets/Product/Ui/Spine/Qu-Skin/SpineQuSkin_AutoWindow.prefab	80002		3
7	Assets/Product/Texture/Image/UiAutoWindow/UiAutoWindowJietou.png		20011		2
8	Assets/Product/Texture/Image/UiAutoWindow/UiAutoWindowWansheng.png		20011		2
9	Assets/Product/Texture/Image/UiAutoWindow/UiAutoWindowJingjihuo.png		20011		2
10	Assets/Product/Texture/Image/UiAutoWindow/UiAutoWindowTianci.png		20011		2
11	Assets/Product/Texture/Image/UiAutoWindow/UiAutoWindowSailinna.png		20084		2
12		Assets/Product/Ui/Spine/Luciya/Luciyasairen/LuciyasairenAutoWindow.prefab	7206		3
13	Assets/Product/Texture/Image/UiAutoWindow/UiAutoWindowQishiSummer.png		20011		2
14	Assets/Product/Texture/Image/UiAutoWindow/UiAutoWindowBg27.png				2
15	Assets/Product/Texture/Image/UiAutoWindow/UiAutoWindowBg32.png				2
16	Assets/Product/Texture/Image/UiAutoWindow/UiAutoWindowBg30.png		20098		2
17	Assets/Product/Texture/Image/UiAutoWindow/UiAutoWindowBg29.png				2
18	Assets/Product/Texture/Image/UiAutoWindow/UiAutoWindowBg31.png				2
19	Assets/Product/Texture/Image/UiAutoWindow/UiAutoWindowBg33.png		82020		2
20	Assets/Product/Texture/Image/UiAutoWindow/UiAutoWindowBg36.png		20120		2
21	Assets/Product/Texture/Image/UiAutoWindow/UiAutoWindowBg38.png				2
22	Assets/Product/Texture/Image/UiAutoWindow/PosterLiPfV127.png		20020		2
23	Assets/Product/Texture/Image/UiAutoWindow/UiAutoWindowMainV128.png				2
24	Assets/Product/Texture/Image/UiAutoWindow/PosterMoeWarV128.png		80015		2
25	Assets/Product/Texture/Image/UiAutoWindow/UiAutoWindowyazhu2.png		11739		2
26	Assets/Product/Texture/Image/UiAutoWindow/UiAutoWindowBg39.png				2
27	Assets/Product/Texture/Image/UiAutoWindow/UiAutoWindowPulaoIdolV129.png		20020		2
28			20156		2
29		Assets/Product/Ui/Spine/Lifu/ChaoLifuDarkSkin/ChaoLifuDarkSkinWindow.prefab	20159		3
30	Assets/Product/Texture/Image/UiAutoWindow/UiAutoWindowLiveShow1V130.png			https://www.bilibili.com/video/BV1Q34y1V7eG/	2
31	Assets/Product/Texture/Image/UiAutoWindow/UiAutoWindowLiveShow2V130.png			https://live.bilibili.com/21242511	2
32	Assets/Product/Texture/Image/UiAutoWindow/PosterBiancaBanShengV130.png		20020		2
33	Assets/Product/Texture/Image/UiAutoWindow/PosterMainV130.png				2
34	Assets/Product/Texture/Image/UiAutoWindow/PosterVelaV130.png		20020		2
35	Assets/Product/Texture/Image/UiAutoWindow/PosterMainV131.png				2
36	Assets/Product/Texture/Image/UiAutoWindow/PosterLuoZiV131.png		20020		2
37	Assets/Product/Texture/Image/UiAutoWindow/PosterKuromuV132.png		20020		2
38	Assets/Product/Texture/Image/UiAutoWindow/PosterMainV132.png				2
39		Assets/Product/Ui/Spine/Luciya/Luciyasairen/LuciyasairenAutoWindow.prefab	20176		3
40	Assets/Product/Texture/Image/UiAutoWindow/PosterRegression3.png		89002		2
41	Assets/Product/Texture/Image/UiAutoWindow/PosterMainV133.png				2
42	Assets/Product/Texture/Image/UiAutoWindow/PosterLunaPfV200.png		20020		2
43	Assets/Product/Texture/Image/UiAutoWindow/PosterSailinnaPfV200.png		20020		2
44		Assets/Product/Ui/Spine/Bianka/BiankaSkin/BiankaSkinAutoWindow.prefab	20179		3
45	Assets/Product/Texture/Image/UiAutoWindow/PosterMainV134.png				2
46	Assets/Product/Texture/Image/UiAutoWindow/PosterLuciaV135.png		20020		2
47	Assets/Product/Texture/Image/UiAutoWindow/PosterKaliePfV201.png		20020		2
48	Assets/Product/Texture/Image/UiAutoWindow/PosterLuciaV136.png		85016		2
49	Assets/Product/Texture/Image/UiAutoWindow/PosterMainV202.png				2
50	Assets/Product/Texture/Image/UiAutoWindow/PosteVideoSkipV201.png			https://youtu.be/xLILdjnWO_c	2
1001	Assets/Product/Texture/Image/UiAutoWindow/UiAutoWindowBg9.png		20011		1
1002	Assets/Product/Texture/Image/UiAutoWindow/UiAutoWindowEn1YearAnniversary.png		8001		2
1003	Assets/Product/Texture/Image/UiAutoWindow/UiAutoWindowEnReSummer30.png		20160		2
1300179	Assets/Product/Texture/Image/UiAutoWindow/UiAutoWindowQingjian.png		20011		2
1300282		Assets/Product/Ui/Spine/LuxiyaSkinHuangJiYongYi/SpineLuciaSkin_AutoWindow.prefab	1300282		3
