Id	Sound	Text	Duration
102100101	100001	Cherries are a subgroup of plants in the Rose family. Historically known as the "Tokyo Cherry" or "Japanese Blossom", I have never seen one in real life, but I have seen their photos in books.	2000
102100102	100001	That person is the first human to make me feel special, to make me want to... touch—I don't know if these thoughts should exist.	3000
102100103	100001	Please look forward to my performance.	4000
102100104	100001	Humans fall ill without consistent nutritional intake. Please strive for a healthy diet, Commandant.	5000
102100105	100001	Gray Raven will remain on standby at HQ until we receive your orders.	6000
102100106	100001	Lucia at your service.	2000
102100107	100001	Commandant. Should we do something if you're free...?	3000
102100108	100001	Humans can experience fatigue, unlike Constructs. Make sure you get enough rest.	4000
102100109	100001	Are human relationships anything like ours?	5000
102100110	100001	Just staying like this is fine too. Just the two of us...	6000
102100201	100001	Are you busy, Commandant?	2000
102100202	100001	I was thinking about you when you were away.	3000
102100203	100001	The warrior's blade is not bound by the scabbard but by the soul of its wielder. Warriors may be a thing in the past, but their spirit never dies...	4000
102100204	100001	Gray Raven leader, Lucia. Nice to meet you, Commandant.	5000
102100205	100001	I am your blade. Do not hesitate to use me.	6000
102100206	100001	Good to see you again, Commandant.	2000
102100207	100001	Hmm... We've been seeing a lot of each other lately.	3000
102100208	100001	I feel like something's changing in my M.I.N.D...	4000
102100209	100001	I'm content right now.	5000
102100210	100001	I hold no fear for the future as long as you're here.	6000
102100301	100001	Nose to the grindstone, Commandant.	2000
102100302	100001	Don't worry. l won't cause you trouble.	3000
102100303	100001	The battlefield will always be my home.	4000
102100304	100001	Trouble sleeping? May as well keep fighting then.	5000
102100305	100001	You put a brave face on things far more than me, don't you?	6000
102100306	100001	...You're getting a bit too close.	2000
102100307	100001	Only because it's you.	3000
102100308	100001	This feeling... It has a power that could encompass everything.	4000
102100309	100001	Don't worry. I'll protect you.	5000
102100310	100001	You give me the courage to face the darkness.	6000
103100101	100001	My memory is very short. I don't know when I'll be rebooted, or even if I'll remember you.	2000
103100102	100001	Don't worry about us. It is you who gives us strength.	3000
103100103	100001	I'll keep trying.	4000
103100104	100001	Please get some rest. I'll help Lucia protect the base.	5000
103100105	100001	If you've got any questions about HQ, please feel free to ask me.	6000
103100106	100001	Lee has provided me with stats for your last battle. Please take a look.	2000
103100107	100001	I may not fight as well as the others, but I'll always try my best!	3000
103100108	100001	Sorry for troubling you again today. But if I can help at all, it would be my pleasure.	4000
103100109	100001	Lucia is a powerful Construct, and you... are a powerful human.	5000
103100110	100001	I wonder what it was like when humans still roamed the Earth?	6000
103100201	100001	Have you been staying up late reading again? I already warned you about that.	2000
103100202	100001	Commandant... My name is Liv... I'll try to be of help.	3000
103100203	100001	Don't worry, I'm here. I may not be able to hold my own, but I'll try my best to do so.	4000
103100204	100001	I might not be as good as Lucia, but I'll try to catch up.	5000
103100205	100001	Lee keeps looking over at me... Have I done something wrong...?	6000
103100206	100001	There's a lot of things about you that I'd like to study closer.	2000
103100207	100001	Welcome back! Let's all do our best today.	3000
103100208	100001	I find your voice very reassuring.	4000
103100209	100001	I-if it's possible, I'd love to watch the sunset and sunrise with you one day.	5000
103100210	100001	If it's you, I think I don't mind being a bit closer.	6000
103100301	100001	I wonder what it was like when humans still roamed the Earth?	2000
103100302	100001	A new day is dawning, Commandant.	3000
103100303	100001	Would today's operation planning require my help?	4000
103100304	100001	I am no longer alive. What fear does death hold for me?	5000
103100305	100001	I could never hate you.	6000
103100306	100001	Do not fear to be in the darkness, for I shall lead you forward.	2000
103100307	100001	As long as you're here, I am content.	3000
103100308	100001	Have you run into trouble?	4000
103100309	100001	(I like you...)	5000
103100310	100001	I can never know too much about you.	6000
101100101	100001	Life is nothing but a series of cycles.	2000
101100102	100001	Humans want to know the future but cannot predict it. Sometimes I wonder if Constructs were made to satisfy the human need for a future.	3000
101100103	100001	So you're the Commandant, huh... Just don't do anything stupid.	4000
101100104	100001	I'm not just your average data jockey. I can fight as well.	5000
101100105	100001	Good choice.	6000
101100106	100001	Apparently, humans without enough rest at night have a higher rate of hair loss.	2000
101100107	100001	Rest is optional for Constructs.	3000
101100108	100001	Don't worry too much about us. You're much more important.	4000
101100109	100001	I can't complain. You're easier to deal with than the last Commandant.	5000
101100110	100001	Okay, okay. "We're getting along." I get it.	6000
101100201	100001	Get some rest, or you won't last 'til the afternoon operations.	2000
101100202	100001	Nothing.	3000
101100203	100001	Not bad. I feel like I'll grow stronger.	4000
101100204	100001	Idle hands are the devil's workshop, Commandant.	5000
101100205	100001	I ran some tests on the Corrupted yesterday. I'll show you later.	6000
101100206	100001	Aren't these... tricks what you perform on humans? Why are you using it all on me...?	2000
101100207	100001	I might go a bit easier on you if you manage to survive the next battle.	3000
101100208	100001	Staying in this squad was the best decision I've ever made.	4000
101100209	100001	There you are! Let us begin by analyzing those Corrupted samples we collected yesterday.	5000
101100210	100001	You look like you can handle yourself in a fight.	6000
101100301	100001	...What are you looking at?	2000
101100302	100001	Strategy and tactics are two different things... Not that you'd understand.	3000
101100303	100001	If you find yourself with a lot of spare time, you should maybe do some brain exercises.	4000
101100304	100001	Commandants shouldn't just be sitting around all day, right?	5000
101100305	100001	Your work is tiring, Commandant. Let me know if you don't feel well.	6000
101100306	100001	Tell me if you run into any trouble. Don't just keep it all in yourself.	2000
101100307	100001	I didn't say I dislike it.	3000
101100308	100001	So we're getting to know each other, huh.	4000
101100309	100001	I remember everything you say. Orders, and everything else.	5000
101100310	100001	Don't worry. I'll protect you.	6000
104100101	100001	Having no emotions is good. That way you will never betray someone, nor experience betrayal.	2000
104100102	100001	I will never betray.	3000
104100103	100001	Might is needed to fulfill your wishes.	4000
104100104	100001	God bless...	5000
104100105	100001	Faith? It all came naturally, please don't mind me.	6000
104100106	100001	I trust you completely, Commandant.	2000
104100107	100001	Practice makes perfect. The same goes for all skills.	3000
104100108	100001	I do my duty, because that's what I believe in.	4000
104100109	100001	No more goofing off when we're together, okay?	5000
104100110	100001	I'm given a more mature disposition than the other girls on the team... What do you think of it, Commandant...?	6000
104100301	100001	I believe in you, Commandant.	2000
104100302	100001	I hope we can fight together, at the very least.	3000
104100303	100001	Preparations are complete. You can begin working whenever you like.	4000
104100304	100001	I will follow all your commands.	5000
104100305	100001	Indeed, we get along quite well.	6000
104100306	100001	You should rest if you're tired, but please don't slack off during work.	2000
104100307	100001	I'm a believer, but my faith isn't blind—that's why I protect you.	3000
104100308	100001	Constructs can't truly have faith? Or are you trying to be my target of worship?	4000
