SoundId	RankNumber	CueId	AttachedImgUrl	ReflectedImgUrl	Words
1	①	100000168	Assets/Product/Texture/Image/UiLivWarmActivity/UiLivWarmActivityPhoto1.png	Assets/Product/Texture/Image/UiLivWarmActivity/UiLivWarmActivityCD1Shade.png	I will be by your side
2	②	100000169	Assets/Product/Texture/Image/UiLivWarmActivity/UiLivWarmActivityPhoto2.png	Assets/Product/Texture/Image/UiLivWarmActivity/UiLivWarmActivityCD2Shade.png	in the warmth of the sunlight
3	③	100000171	Assets/Product/Texture/Image/UiLivWarmActivity/UiLivWarmActivityPhoto3.png	Assets/Product/Texture/Image/UiLivWarmActivity/UiLivWarmActivityCD3Shade.png	like an unfaltering shadow
4	④	100000170	Assets/Product/Texture/Image/UiLivWarmActivity/UiLivWarmActivityPhoto4.png	Assets/Product/Texture/Image/UiLivWarmActivity/UiLivWarmActivityCD4Shade.png	in the comfort of the night breeze
5	⑤	100000167	Assets/Product/Texture/Image/UiLivWarmActivity/UiLivWarmActivityPhoto5.png	Assets/Product/Texture/Image/UiLivWarmActivity/UiLivWarmActivityCD5Shade.png	Wherever you go
6	①	100000176	Assets/Product/Texture/Image/UiLivWarmActivity/UiLivWarmActivityPhoto1.png	Assets/Product/Texture/Image/UiLivWarmActivity/UiLivWarmActivityCD1Shade.png	Liv of Gray Raven
7	②	100000173	Assets/Product/Texture/Image/UiLivWarmActivity/UiLivWarmActivityPhoto2.png	Assets/Product/Texture/Image/UiLivWarmActivity/UiLivWarmActivityCD2Shade.png	As long as everyone and you
8	③	100000177	Assets/Product/Texture/Image/UiLivWarmActivity/UiLivWarmActivityPhoto3.png	Assets/Product/Texture/Image/UiLivWarmActivity/UiLivWarmActivityCD3Shade.png	have stood and fought until my very last breath
9	④	100000175	Assets/Product/Texture/Image/UiLivWarmActivity/UiLivWarmActivityPhoto4.png	Assets/Product/Texture/Image/UiLivWarmActivity/UiLivWarmActivityCD4Shade.png	that will be the greatest proof that I
10	⑤	100000174	Assets/Product/Texture/Image/UiLivWarmActivity/UiLivWarmActivityPhoto5.png	Assets/Product/Texture/Image/UiLivWarmActivity/UiLivWarmActivityCD5Shade.png	get to live
11	①	100000181	Assets/Product/Texture/Image/UiLivWarmActivity/UiLivWarmActivityPhoto1.png	Assets/Product/Texture/Image/UiLivWarmActivity/UiLivWarmActivityCD1Shade.png	BPN-08
12	②	100000180	Assets/Product/Texture/Image/UiLivWarmActivity/UiLivWarmActivityPhoto2.png	Assets/Product/Texture/Image/UiLivWarmActivity/UiLivWarmActivityCD2Shade.png	to go home
13	③	100000179	Assets/Product/Texture/Image/UiLivWarmActivity/UiLivWarmActivityPhoto3.png	Assets/Product/Texture/Image/UiLivWarmActivity/UiLivWarmActivityCD3Shade.png	To reclaim Earth
14	④	100000183	Assets/Product/Texture/Image/UiLivWarmActivity/UiLivWarmActivityPhoto4.png	Assets/Product/Texture/Image/UiLivWarmActivity/UiLivWarmActivityCD4Shade.png	Only hope
15	⑤	100000182	Assets/Product/Texture/Image/UiLivWarmActivity/UiLivWarmActivityPhoto5.png	Assets/Product/Texture/Image/UiLivWarmActivity/UiLivWarmActivityCD5Shade.png	you are our
