Id	PartNpc	MainNpc	BoneName	RenderBoneName	MapDamageType	DeathSkillId	SkillId[1]	SkillId[2]	SkillId[3]	SkillId[4]	SkillId[5]	SkillId[6]	SkillId[7]	SkillId[8]	SkillId[9]	SkillId[10]	SkillId[11]	SkillId[12]	SkillId[13]	SkillId[14]	SkillId[15]	SkillId[16]	SkillId[17]	SkillId[18]	SkillId[19]	SkillId[20]	SkillId[21]	SkillId[22]	SkillId[23]	SkillId[24]	SkillId[25]	SkillId[26]	SkillId[27]	SkillId[28]	SkillId[29]	SkillId[30]	SkillId[31]	SkillId[32]	SkillId[33]	SkillId[34]	SkillId[35]	SkillId[36]	SkillId[37]	SkillId[38]	SkillId[39]	SkillId[40]	SkillId[41]	SkillId[42]	SkillId[43]	SkillId[44]	SkillId[45]	SkillId[46]	SkillId[47]	SkillId[48]	SkillId[49]	SkillId[50]	SkillId[51]	SkillId[52]	SkillId[53]	SkillId[54]	SkillId[55]	SkillId[56]	SkillId[57]	SkillId[58]	SkillId[59]	SkillId[60]	SkillId[61]	SkillId[62]	SkillId[63]	SkillId[64]	SkillId[65]	SkillId[66]	SkillId[67]	SkillId[68]	SkillId[69]	SkillId[70]	SkillId[71]	SkillId[72]	SkillId[73]	SkillId[74]	SkillId[75]	SkillId[76]	SkillId[77]	SkillId[78]	SkillId[79]	SkillId[80]	SkillId[81]	SkillId[82]	SkillId[83]	SkillId[84]	SkillId[85]	SkillId[86]	SkillId[87]	SkillId[88]	SkillId[89]	SkillId[90]	SkillId[91]	SkillId[92]	SkillId[93]	SkillId[94]	SkillId[95]	SkillId[96]	SkillId[97]	SkillId[98]	SkillId[99]	SkillId[100]
1	84001	8400	Bip001LHand	Bip001LHand	1		840051	840052	840057	840058	840067	840068																																																																																														
2	8411	8410		Spine2Case			841101	841102	841103	841104	841105	841106	841107	841108	841109	841110	841111	841112	841113	841114	841115	841116	841117	841118	841119	841120	841121	841122	841123	841124	841125	841126	841121	841122	841129	841130	841131	841132	841133	841134	841135	841136	841137	841138	841139	841140	841141	841142	841143	841144	841145	841146	841147	841148	841149	841150	841151	841152	841153	841154	841155	841156	841157	841158	841159	841160	841161	841162	841163	841164	841165	841166	841167	841168	841169	841170	841171	841172	841173	841174	841175	841176	841177	841178	841179	841180	841181	841182	841183	841184	841185	841186	841187	841188	841189	841190	841191	841192	841193	841194	841195	841196	841197	841198	841199	841200
3	84002	8400	Bip001RHand	Bip001RHand	1		840051	840052	840057	840058	840067	840068																																																																																														
4	841100	841000		Spine2Case			841101	841102	841103	841104	841105	841106	841107	841108	841109	841110	841111	841112	841113	841114	841115	841116	841117	841118	841119	841120	841121	841122	841123	841124	841125	841126	841121	841122	841129	841130	841131	841132	841133	841134	841135	841136	841137	841138	841139	841140	841141	841142	841143	841144	841145	841146	841147	841148	841149	841150	841151	841152	841153	841154	841155	841156	841157	841158	841159	841160	841161	841162	841163	841164	841165	841166	841167	841168	841169	841170	841171	841172	841173	841174	841175	841176	841177	841178	841179	841180	841181	841182	841183	841184	841185	841186	841187	841188	841189	841190	841191	841192	841193	841194	841195	841196	841197	841198	841199	841200
5	84111	84100		Spine2Case			841101	841102	841103	841104	841105	841106	841107	841108	841109	841110	841111	841112	841113	841114	841115	841116	841117	841118	841119	841120	841121	841122	841123	841124	841125	841126	841121	841122	841129	841130	841131	841132	841133	841134	841135	841136	841137	841138	841139	841140	841141	841142	841143	841144	841145	841146	841147	841148	841149	841150	841151	841152	841153	841154	841155	841156	841157	841158	841159	841160	841161	841162	841163	841164	841165	841166	841167	841168	841169	841170	841171	841172	841173	841174	841175	841176	841177	841178	841179	841180	841181	841182	841183	841184	841185	841186	841187	841188	841189	841190	841191	841192	841193	841194	841195	841196	841197	841198	841199	841200
6	93082	9308	ArmLCase	ArmLCase			930861	930862	930863	930864	930865	930866	930867	930868	930869	930870	930871	930870	930870	930870	930872	930816	930817	930818	930819	930820	930873	930874	930875	930876	930825	930830	930827	930828	930829	930830	930831	930832	930833	930836	930865	930836	930837	930838	930839	930840	930841	930842	930843	930844	930845	930846	930847	930848	930849	930850	930851	930852	930853	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868																																
7	93083	9308	ArmRCase	ArmRCase			930861	930862	930863	930864	930865	930866	930867	930868	930869	930870	930871	930870	930870	930870	930872	930816	930817	930818	930819	930820	930873	930874	930875	930876	930825	930830	930827	930828	930829	930830	930831	930832	930833	930836	930865	930836	930837	930838	930839	930840	930841	930842	930843	930844	930845	930846	930847	930848	930849	930850	930851	930852	930853	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868																																
8	93084	9308	TailCase	TailCase			930861	930862	930863	930864	930865	930866	930867	930868	930869	930870	930871	930870	930870	930870	930872	930816	930817	930818	930819	930820	930873	930874	930875	930876	930825	930830	930827	930828	930829	930830	930831	930832	930833	930836	930865	930836	930837	930838	930839	930840	930841	930842	930843	930844	930845	930846	930847	930848	930849	930850	930851	930852	930853	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868																																
9	93085	9308	MarkCase	MarkCase			930861	930862	930863	930864	930865	930866	930867	930868	930869	930870	930871	930870	930870	930870	930872	930816	930817	930818	930819	930820	930873	930874	930875	930876	930825	930830	930827	930828	930829	930830	930831	930832	930833	930836	930865	930836	930837	930838	930839	930840	930841	930842	930843	930844	930845	930846	930847	930848	930849	930850	930851	930852	930853	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868																																
10	93086	9308	LHand	LHand			930861	930862	930863	930864	930865	930866	930867	930868	930869	930870	930871	930870	930870	930870	930872	930816	930817	930818	930819	930820	930873	930874	930875	930876	930825	930830	930827	930828	930829	930830	930831	930832	930833	930836	930865	930836	930837	930838	930839	930840	930841	930842	930843	930844	930845	930846	930847	930848	930849	930850	930851	930852	930853	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868																																
11	93087	9308	RHand	RHand			930861	930862	930863	930864	930865	930866	930867	930868	930869	930870	930871	930870	930870	930870	930872	930816	930817	930818	930819	930820	930873	930874	930875	930876	930825	930830	930827	930828	930829	930830	930831	930832	930833	930836	930865	930836	930837	930838	930839	930840	930841	930842	930843	930844	930845	930846	930847	930848	930849	930850	930851	930852	930853	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868																																
12	1055	1054		Bip001Spine1			105501	105502	105503	105504	105505	105506	105507	105508	105509	105510	105511	105512	105513	105514	105515	105516	105517	105518	105519	105520	105521	105522	105523	105524	105525	105526	105527	105528	105529	105530	105531	105532	105533	105534	105535	105536	105537	105538	105539	105540	105541	105542	105543	105544	105545	105546	105547	105548	105549	105550	105551	105552	105553	105554	105555	105556	105557	105558	105559	105560	930851	930852	930853	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868																						
13	93179	9317	wheelBoneM	wheelBoneM	2																																																																																																					
14	1056	1054		Bip001Spine1			105601	105602	105603	105604	105605	105606	105607	105608	105609	105610	105611	105612	105613	105614	105615	105616	105617	105618	105619	105620	105621	105622	105623	105624	105625	105626	105627	105628	105629	105630	105631	105632	105633	105634	105635	105636	105637	105638	105639	105640	105641	105642	105643	105644	105645	105646	105647	105648	105649	105650	930851	105651	105652	105653	105654	105655	105656	105657	105658	105659	105660	930852	930853	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868																						
15	1057	1054		Bip001Spine1			105701	105702	105703	105704	105705	105706	105707	105708	105709	105710	105711	105712	105713	105714	105715	105716	105717	105718	105719	105720	105721	105722	105723	105724	105725	105726	105727	105728	105729	105730	105731	105732	105733	105734	105735	105736	105737	105738	105739	105740	105741	105742	105743	105744	105745	105746	105747	105748	105749	105750	930851	105551	105552	105553	105554	105555	105556	105557	105558	105559	105560	930852	930853	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868																						
16	1058	1054		Bip001Spine1			105801	105802	105803	105804	105805	105806	105807	105808	105809	105810	105811	105812	105813	105814	105815	105816	105817	105818	105819	105820	105821	105822	105823	105824	105825	105826	105827	105828	105829	105830	105831	105832	105833	105834	105835	105836	105837	105838	105839	105840	105841	105842	105843	105844	105845	105846	105847	105848	105849	105850	930851	105551	105552	105553	105554	105555	105556	105557	105558	105559	105560	930852	930853	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868	930868																						
17	8532	8530	Bip001LCalf	Bip001LCalf	2																																																																																																					
