Id	RequireAbility	NeedCharacter	Desc
14010111	5000	2	
14010112	5000	1	
14010113	5000	1	
14010121	5000	1	
14010122	5000	2	
14010123	5000	1	
14010131	5000	1	
14010132	5000	1	
14010133	5000	2	
14010211	5500	2	
14010212	5500	2	
14010213	5500	1	
14010221	5500	2	
14010222	5500	2	
14010223	5500	1	
14010231	5500	1	
14010232	5500	1	
14010233	5500	2	
14010234	5500	1	
14010311	5500	1	
14010312	5500	1	
14010313	5500	3	
14010321	5500	2	
14010322	5500	2	
14010323	5500	1	
14010331	5500	1	
14010332	5500	1	
14010333	5500	1	
14010334	5500	2	
14010411	5500	2	
14010412	5500	2	
14010413	5500	2	
14010421	5500	2	
14010422	5500	1	
14010423	5500	2	
14010424	5500	1	
14010431	5500	1	
14010432	5500	1	
14010433	5500	1	
14010434	5500	3	
14020511	5500	2	
14020512	5500	2	
14020513	5500	2	
14020514	5500	1	
14020521	5500	3	
14020522	5500	2	
14020523	5500	1	
14020524	5500	1	
14020531	5500	2	
14020532	5500	1	
14020533	5500	1	
14020534	5500	3	
14020611	5500	2	
14020612	5500	2	
14020613	5500	2	
14020614	5500	2	
14020621	5500	2	
14020622	5500	3	
14020623	5500	1	
14020624	5500	2	
14020631	5500	3	
14020632	5500	1	
14020633	5500	1	
14020634	5500	3	
14020711	5500	3	
14020712	5500	3	
14020713	5500	2	
14020714	5500	1	
14020721	5500	2	
14020722	5500	2	
14020723	5500	3	
14020724	5500	2	
14020731	5500	3	
14020732	5500	2	
14020733	5500	2	
14020734	5500	2	
14020811	5500	3	
14020812	5500	3	
14020813	5500	3	
14020814	5500	1	
14020821	5500	2	
14020822	5500	3	
14020823	5500	3	
14020824	5500	2	
14020831	5500	3	
14020832	5500	2	
14020833	5500	2	
14020834	5500	3	
