GroupId	PreGroupId	BaseStage	StageId[1]	StageId[2]	StageId[3]	StageId[4]	TeamInfoId[1]	TeamInfoId[2]	TeamInfoId[3]	TeamInfoId[4]	GroupOrderId	Name	Icon
101		14010113	14010111	14010112	14010113		14010111	14010112	14010113		1	Port Hub	Assets/Product/Texture/Image/UiAssign/UiAssignTab01.png
102	101	14010123	14010121	14010122	14010123		14010121	14010122	14010123		2	Unloading Area	Assets/Product/Texture/Image/UiAssign/UiAssignTab01.png
103	102	14010133	14010131	14010132	14010133		14010131	14010132	14010133		3	Core Management Area	Assets/Product/Texture/Image/UiAssign/UiAssignTab01.png
201	103	14010213	14010211	14010212	14010213		14010211	14010212	14010213		1	Reunion Pavilion	Assets/Product/Texture/Image/UiAssign/UiAssignTab02.png
202	201	14010223	14010221	14010222	14010223		14010221	14010222	14010223		2	Dream Terrace	Assets/Product/Texture/Image/UiAssign/UiAssignTab02.png
203	202	14010234	14010231	14010232	14010233	14010234	14010231	14010232	14010233	14010234	3	Cloud Passage	Assets/Product/Texture/Image/UiAssign/UiAssignTab02.png
301	203	14010313	14010311	14010312	14010313		14010311	14010312	14010313		1	Maintenance Tunnel	Assets/Product/Texture/Image/UiAssign/UiAssignTab03.png
302	301	14010323	14010321	14010322	14010323		14010321	14010322	14010323		2	Shopping Town	Assets/Product/Texture/Image/UiAssign/UiAssignTab03.png
303	302	14010334	14010331	14010332	14010333	14010334	14010331	14010332	14010333	14010334	3	Yazaki Park	Assets/Product/Texture/Image/UiAssign/UiAssignTab03.png
401	303	14010413	14010411	14010412	14010413		14010411	14010412	14010413		1	Counter Corridor	Assets/Product/Texture/Image/UiAssign/UiAssignTab04.png
402	401	14010424	14010421	14010422	14010423	14010424	14010421	14010422	14010423	14010424	2	Anti-Direct Hit Partition	Assets/Product/Texture/Image/UiAssign/UiAssignTab04.png
403	402	14010434	14010431	14010432	14010433	14010434	14010431	14010432	14010433	14010434	3	QR Passageway	Assets/Product/Texture/Image/UiAssign/UiAssignTab04.png
501	403	14020514	14020511	14020512	14020513	14020514	14020511	14020512	14020513	14020514	1	Bamboo Garden	Assets/Product/Texture/Image/UiAssign/UiAssignTab05.png
502	501	14020524	14020521	14020522	14020523	14020524	14020521	14020522	14020523	14020524	2	Hospital Buildings	Assets/Product/Texture/Image/UiAssign/UiAssignTab05.png
503	502	14020534	14020531	14020532	14020533	14020534	14020531	14020532	14020533	14020534	3	Underground Factory	Assets/Product/Texture/Image/UiAssign/UiAssignTab05.png
601	503	14020614	14020611	14020612	14020613	14020614	14020611	14020612	14020613	14020614	1	Titan Trench	Assets/Product/Texture/Image/UiAssign/UiAssignTab06.png
602	601	14020624	14020621	14020622	14020623	14020624	14020621	14020622	14020623	14020624	2	Hangar Passage	Assets/Product/Texture/Image/UiAssign/UiAssignTab06.png
603	602	14020634	14020631	14020632	14020633	14020634	14020631	14020632	14020633	14020634	3	Residential Area	Assets/Product/Texture/Image/UiAssign/UiAssignTab06.png
701	603	14020714	14020711	14020712	14020713	14020714	14020711	14020712	14020713	14020714	1	Bunker Dune	Assets/Product/Texture/Image/UiAssign/UiAssignTab07.png
702	701	14020724	14020721	14020722	14020723	14020724	14020721	14020722	14020723	14020724	2	Reinforced Passage	Assets/Product/Texture/Image/UiAssign/UiAssignTab07.png
703	702	14020734	14020731	14020732	14020733	14020734	14020731	14020732	14020733	14020734	3	Data Center	Assets/Product/Texture/Image/UiAssign/UiAssignTab07.png
801	703	14020814	14020811	14020812	14020813	14020814	14020811	14020812	14020813	14020814	1	Ghost Coast	Assets/Product/Texture/Image/UiAssign/UiAssignTab08.png
802	801	14020824	14020821	14020822	14020823	14020824	14020821	14020822	14020823	14020824	2	Quick Reaction Passage	Assets/Product/Texture/Image/UiAssign/UiAssignTab08.png
803	802	14020834	14020831	14020832	14020833	14020834	14020831	14020832	14020833	14020834	3	Radar Station	Assets/Product/Texture/Image/UiAssign/UiAssignTab08.png
