Id	PowerGroupId	Level	UseItemId[1]	UseItemCount[1]	UseItemId[2]	UseItemCount[2]
1	1	0	1	10	2	10
2	1	1	1	20	2	20
3	1	2	1	30	2	30
4	1	3	1	40	2	40
5	1	4	1	50	2	50
6	1	5	1	60	2	60
7	2	0	1	10	2	10
8	2	1	1	20	2	20
9	2	2	1	30	2	30
10	2	3	1	40	2	40
11	2	4	1	50	2	50
12	2	5	1	60	2	60
13	3	0	1	10	2	10
14	3	1	1	20	2	20
15	3	2	1	30	2	30
16	3	3	1	40	2	40
17	3	4	1	50	2	50
18	3	5	1	60	2	60
19	4	0	1	10	2	10
20	4	1	1	20	2	20
21	4	2	1	30	2	30
22	4	3	1	40	2	40
23	4	4	1	50	2	50
24	4	5	1	60	2	60
25	5	0	1	10	2	10
26	5	1	1	20	2	20
27	5	2	1	30	2	30
28	5	3	1	40	2	40
29	5	4	1	50	2	50
30	5	5	1	60	2	60
