Id	PowerId	Level	Type	TypeParam[1]	TypeParam[2]	TypeParam[3]	AttribId	AttribGrowRateId	BornMagic[1]	BornMagic[2]	BornMagic[3]	BornMagic[4]	SubSkillId[1]	SubSkillId[2]	SubSkillId[3]	SubSkillId[4]	SubSkillId[5]	SubSkillId[6]	SubSkillId[7]	SubSkillId[8]	SubSkillId[9]	SubSkillId[10]	SubSkillId[11]	SubSkillId[12]	SubSkillId[13]	SubSkillId[14]	SubMagicId[1]	SubMagicId[2]	SubMagicId[3]	SubMagicId[4]	SubMagicId[5]	SubMagicId[6]	SubMagicId[7]	SubMagicId[8]	SubMagicId[9]	SubMagicId[10]	SubMagicId[11]	SubMagicId[12]	SubMagicId[13]	SubMagicId[14]
1	101201	1											100101	100102	100103												100101	100102	100103	100144	100145	100146								
2	101201	2											100101	100102	100103												100101	100102	100103	100144	100145	100146								
3	101201	3											100101	100102	100103												100101	100102	100103	100144	100145	100146								
4	101201	4											100101	100102	100103												100101	100102	100103	100144	100145	100146								
5	101201	5											100101	100102	100103												100101	100102	100103	100144	100145	100146								
6	101201	6											100101	100102	100103												100101	100102	100103	100144	100145	100146								
7	101201	7											100101	100102	100103												100101	100102	100103	100144	100145	100146								
8	101201	8											100101	100102	100103												100101	100102	100103	100144	100145	100146								
9	101201	9											100101	100102	100103												100101	100102	100103	100144	100145	100146								
10	101201	10											100101	100102	100103												100101	100102	100103	100144	100145	100146								
11	101201	11											100101	100102	100103												100101	100102	100103	100144	100145	100146								
12	101201	12											100101	100102	100103												100101	100102	100103	100144	100145	100146								
13	101201	13											100101	100102	100103												100101	100102	100103	100144	100145	100146								
14	101201	14											100101	100102	100103												100101	100102	100103	100144	100145	100146								
15	101201	15											100101	100102	100103												100101	100102	100103	100144	100145	100146								
16	101201	16											100101	100102	100103												100101	100102	100103	100144	100145	100146								
17	101201	17											100101	100102	100103												100101	100102	100103	100144	100145	100146								
18	101201	18											100101	100102	100103												100101	100102	100103	100144	100145	100146								
19	101201	19											100101	100102	100103												100101	100102	100103	100144	100145	100146								
20	101201	20											100101	100102	100103												100101	100102	100103	100144	100145	100146								
